parent.pop,elevation.group,elev_m,Lat,Long,GD_Recent_Wtr_Year_2023,GD_Historic_Wtr_Year_2023,GD_Recent_GrwSsn_2023,GD_Historic_GrwSsn_2023,Geographic_Dist,Elev_Dist
CP3,high,2266.382201,38.70649,-120.08797,0.350118446,0.441581761,0.268719825,0.316604412,19415.21628,246.266401
CP2,high,2244.132886,38.66169,-120.13065,0.35963718,0.441665057,0.279047605,0.325857698,21059.95463,224.017086
WL2,high,2020.115818,38.8263,-120.25242,0.361165896,0.412506941,0.245003458,0.246336322,136.2621717,1.80E-05
LV3,high,2353.550747,40.47917,-121.52311,0.379145084,0.454206493,0.408583837,0.51733443,213902.1974,333.434947
WR,mid,1158,39.34346,-120.80659,0.380026509,0.376659223,0.395364578,0.390755795,74991.70579,-862.1158
YO4,high,2157.57391,37.76378,-119.77244,0.381230957,0.395563823,0.217457697,0.223692539,125415.4437,137.45811
LV1,high,2593.416641,40.47471,-121.50486,0.383113348,0.449832847,0.412709049,0.511497463,212682.4806,573.300841
SQ3,high,2373.170732,36.72109,-118.84933,0.388409163,0.417126455,0.270559838,0.287888232,264779.7941,353.054932
YO7,high,2469.978665,37.80903,-119.56605,0.392154691,0.449184352,0.329234514,0.326341716,128036.8698,449.862865
LVTR1,high,2741.38982,40.47917,-121.5032,0.394379068,0.45554091,0.428464339,0.539455486,213037.5923,721.27402
WL1,mid,1613.837245,38.78608,-120.2143,0.394694287,0.424704443,0.286392265,0.258079775,5460.644397,-406.278555
SQ2,mid,1934.45122,36.66557,-118.83543,0.40485922,0.41557078,0.252499026,0.235791802,270845.6282,-85.66458
YO8,high,2590.97836,37.81117,-119.48624,0.419368508,0.486799717,0.364742561,0.350297286,131231.9696,570.86256
SQ1,mid,1921.036585,36.56435,-118.7764,0.435918985,0.442642331,0.27135544,0.260354272,283280.5412,-99.079215
DPR,mid,1018.591893,39.22846,-120.81518,0.442899504,0.439105355,0.43019516,0.402106219,66245.65466,-1001.523907
WV,mid,748.8570558,40.74084,-123.00364,0.484611361,0.500242517,0.355300076,0.330810546,317600.3796,-1271.258744
YO11,high,2872.295032,37.93844,-119.23157,0.517449495,0.621519525,0.406832685,0.41001265,132940.1126,852.179232
IH,low,454.1298385,39.09332,-120.92114,0.548284071,0.528619932,0.384640475,0.357823474,65203.39532,-1565.985962
FR,mid,787,40.01362,-121.18498,0.554822953,0.551534963,0.368139166,0.370502599,154693.8859,-1233.1158
TM2,low,379.1526973,39.59255,-121.55072,0.570455055,0.531518755,0.343697916,0.317630645,140893.4315,-1640.963103
CC,low,313,39.58597,-121.43311,0.600505594,0.567896213,0.328537889,0.299430125,132498.4183,-1707.1158
SC,low,421.5178299,38.41167,-120.73583,0.626807587,0.642080562,0.266937692,0.269280406,62498.87463,-1598.59797
BH,low,511.4294422,37.40985,-119.96458,0.694974026,0.640372514,0.262505245,0.239609294,159625.5962,-1508.686358
