parent.pop,elevation.group,elev_m,Lat,Long,timeframe,Season,Year,Gowers_Dist,conf.low,conf.high
WL2,high,2020.115818,38.8263,-120.25242,Recent,Water Year,2024,0.16005687116889747,0.11915902225282249,0.20030662602025384
SQ3,high,2373.170732,36.72109,-118.84933,Recent,Water Year,2024,0.22552381990343454,0.1927050845118455,0.25845836878436346
WL1,mid,1613.837245,38.78608,-120.2143,Recent,Water Year,2024,0.23830806330378124,0.21318616383435646,0.26966328751641927
WV,mid,748.8570558,40.74084,-123.00364,Recent,Water Year,2024,0.32687714302635196,0.3006351590564966,0.3512225331894203
YO11,high,2872.295032,37.93844,-119.23157,Recent,Water Year,2024,0.36150326599932603,0.3340109970281955,0.39515993398105365
LV1,high,2593.416641,40.47471,-121.50486,Recent,Water Year,2024,0.3865831825047009,0.3393325220595401,0.43296257481888567
TM2,low,379.1526973,39.59255,-121.55072,Recent,Water Year,2024,0.4113092775212139,0.38084216750414185,0.4366235944763947
DPR,mid,1018.591893,39.22846,-120.81518,Recent,Water Year,2024,0.4143381567651154,0.39375051055405885,0.4454100438114921
CC,low,313,39.58597,-121.43311,Recent,Water Year,2024,0.45878550377575317,0.4286967730555327,0.4996502545797696
BH,low,511.4294422,37.40985,-119.96458,Recent,Water Year,2024,0.5953713536656631,0.5721231152277346,0.634748808572543
WL2,high,2020.115818,38.8263,-120.25242,Historic,Water Year,2024,0.16402686985724746,0.11523616200567285,0.1914154731142331
WL1,mid,1613.837245,38.78608,-120.2143,Historic,Water Year,2024,0.16902098199011326,0.11871606440823868,0.1798827176831278
SQ3,high,2373.170732,36.72109,-118.84933,Historic,Water Year,2024,0.22447192913360406,0.18566548745878103,0.2549959354924776
WV,mid,748.8570558,40.74084,-123.00364,Historic,Water Year,2024,0.28442643971473824,0.22983352152908676,0.30715383036051735
DPR,mid,1018.591893,39.22846,-120.81518,Historic,Water Year,2024,0.3523098965782742,0.3181908008394281,0.39440942998760775
TM2,low,379.1526973,39.59255,-121.55072,Historic,Water Year,2024,0.3779395864597501,0.3406290841947473,0.4159830583882787
CC,low,313,39.58597,-121.43311,Historic,Water Year,2024,0.41673026209316855,0.3757758420965205,0.46227656671045414
YO11,high,2872.295032,37.93844,-119.23157,Historic,Water Year,2024,0.4385196619142696,0.39225919951150406,0.48652337638759907
LV1,high,2593.416641,40.47471,-121.50486,Historic,Water Year,2024,0.4560260500552601,0.41983320929005374,0.5031133077063823
BH,low,511.4294422,37.40985,-119.96458,Historic,Water Year,2024,0.5376373827969,0.49259641546922656,0.593826910401262
