parent.pop,elevation.group,elev_m,Lat,Long,TimePd,GrwSsn_GD,Wtr_Year_GD
SQ2,Mid,1934.45122,36.66557,-118.83543,Recent,0.1461984939492476,0.2892208528009827
SQ1,Mid,1921.036585,36.56435,-118.7764,Recent,0.15925195605398132,0.3096793544250043
YO4,High,2157.57391,37.76378,-119.77244,Recent,0.2086949870354298,0.25796435899117837
SQ3,High,2373.170732,36.72109,-118.84933,Recent,0.21300964349329185,0.29059564658802123
WL2,High,2020.115818,38.8263,-120.25242,Recent,0.23834796265124175,0.22560862836588205
WL1,Mid,1613.837245,38.78608,-120.2143,Recent,0.26468743583730675,0.2701784104191568
CP2,High,2244.132886,38.66169,-120.13065,Recent,0.2891208204242013,0.25344659322699037
CP3,High,2266.382201,38.70649,-120.08797,Recent,0.3342578988098884,0.26113636908422116
WV,Mid,748.8570558,40.74084,-123.00364,Recent,0.3503744134532172,0.3665151945164182
FR,Mid,787,40.01362,-121.18498,Recent,0.3514377171461842,0.423602540354042
YO7,High,2469.978665,37.80903,-119.56605,Recent,0.35348538327998885,0.3278142543551394
YO8,High,2590.97836,37.81117,-119.48624,Recent,0.36035263924540945,0.3556946536500516
BH,Low,511.4294422,37.40985,-119.96458,Recent,0.3604549428293177,0.5660007888959232
WR,Mid,1158,39.34346,-120.80659,Recent,0.36593495563577016,0.35549638318482357
LV1,High,2593.416641,40.47471,-121.50486,Recent,0.4138238945758593,0.4058296303042206
YO11,High,2872.295032,37.93844,-119.23157,Recent,0.42322780658205655,0.3880525559744662
LV3,High,2353.550747,40.47917,-121.52311,Recent,0.4280109738877103,0.4099661556087886
LVTR1,High,2741.38982,40.47917,-121.5032,Recent,0.42843274125131137,0.42895463696686503
DPR,Mid,1018.591893,39.22846,-120.81518,Recent,0.43199668570153255,0.3775333997037037
CC,Low,313,39.58597,-121.43311,Recent,0.43490172820755546,0.4450085211577885
SC,Low,421.5178299,38.41167,-120.73583000000001,Recent,0.4493119322097615,0.49706981852766485
IH,Low,454.1298385,39.09332,-120.92114,Recent,0.45312803979930383,0.422261684130245
TM2,Low,379.1526973,39.59255,-121.55072,Recent,0.5655470039740155,0.406282424823454
SQ1,Mid,1921.036585,36.56435,-118.7764,Historical,0.21651191155607505,0.2925525962370832
SQ2,Mid,1934.45122,36.66557,-118.83543,Historical,0.24457816365610732,0.2776756120420524
YO4,High,2157.57391,37.76378,-119.77244,Historical,0.26124962058508383,0.25006135559417575
WL1,Mid,1613.837245,38.78608,-120.2143,Historical,0.29583609128596455,0.24421234684763615
WL2,High,2020.115818,38.8263,-120.25242,Historical,0.29776019955620475,0.24685507697635775
SQ3,High,2373.170732,36.72109,-118.84933,Historical,0.30396364221616096,0.28975456006400624
CP2,High,2244.132886,38.66169,-120.13065,Historical,0.33622970554011133,0.2963295031701225
YO7,High,2469.978665,37.80903,-119.56605,Historical,0.34322189186049695,0.31317642544210694
WV,Mid,748.8570558,40.74084,-123.00364,Historical,0.34382379137204094,0.32589411727427253
YO8,High,2590.97836,37.81117,-119.48624,Historical,0.3458093995975433,0.33797391529967563
FR,Mid,787,40.01362,-121.18498,Historical,0.3489122471906016,0.3873462376821275
CP3,High,2266.382201,38.70649,-120.08797,Historical,0.3709066034796691,0.31733251380187083
WR,Mid,1158,39.34346,-120.80659,Historical,0.3720415682746561,0.3260658841598007
BH,Low,511.4294422,37.40985,-119.96458,Historical,0.3815129633506691,0.5206930652158447
DPR,Mid,1018.591893,39.22846,-120.81518,Historical,0.417907793741886,0.36106594536732417
YO11,High,2872.295032,37.93844,-119.23157,Historical,0.4200726439993085,0.4510180847185606
SC,Low,421.5178299,38.41167,-120.73583000000001,Historical,0.4471144228275997,0.4743355233119946
IH,Low,454.1298385,39.09332,-120.92114,Historical,0.4559818192139265,0.3865157522289891
CC,Low,313,39.58597,-121.43311,Historical,0.5097214611547519,0.4145360922023299
TM2,Low,379.1526973,39.59255,-121.55072,Historical,0.5659562962531037,0.3858797856421098
LV1,High,2593.416641,40.47471,-121.50486,Historical,0.6148904032221205,0.49887652894575624
LV3,High,2353.550747,40.47917,-121.52311,Historical,0.6261727691653552,0.509938873040848
LVTR1,High,2741.38982,40.47917,-121.5032,Historical,0.6309550926544313,0.507374713832442
