"pop","total_individuals","stage","proportion"
"BH",11,"prop_bud",0
"BH",11,"prop_flower",0
"BH",11,"prop_fruit",0
"CC",47,"prop_bud",0
"CC",47,"prop_flower",0
"CC",47,"prop_fruit",0
"CP2",65,"prop_bud",0
"CP2",65,"prop_flower",0
"CP2",65,"prop_fruit",0
"CP3",85,"prop_bud",0
"CP3",85,"prop_flower",0
"CP3",85,"prop_fruit",0
"DPR",69,"prop_bud",0
"DPR",69,"prop_flower",0
"DPR",69,"prop_fruit",0
"FR",55,"prop_bud",0
"FR",55,"prop_flower",0
"FR",55,"prop_fruit",0
"IH",52,"prop_bud",0
"IH",52,"prop_flower",0
"IH",52,"prop_fruit",0
"LV1",87,"prop_bud",0
"LV1",87,"prop_flower",0
"LV1",87,"prop_fruit",0
"LV3",34,"prop_bud",0
"LV3",34,"prop_flower",0
"LV3",34,"prop_fruit",0
"LVTR1",76,"prop_bud",0
"LVTR1",76,"prop_flower",0
"LVTR1",76,"prop_fruit",0
"SC",54,"prop_bud",0
"SC",54,"prop_flower",0
"SC",54,"prop_fruit",0
"SQ1",53,"prop_bud",0
"SQ1",53,"prop_flower",0
"SQ1",53,"prop_fruit",0
"SQ2",71,"prop_bud",0
"SQ2",71,"prop_flower",0
"SQ2",71,"prop_fruit",0
"SQ3",81,"prop_bud",0
"SQ3",81,"prop_flower",0
"SQ3",81,"prop_fruit",0
"TM2",54,"prop_bud",0.0740740740740741
"TM2",54,"prop_flower",0.0555555555555556
"TM2",54,"prop_fruit",0.037037037037037
"WL1",16,"prop_bud",0
"WL1",16,"prop_flower",0
"WL1",16,"prop_fruit",0
"WL2",65,"prop_bud",0
"WL2",65,"prop_flower",0
"WL2",65,"prop_fruit",0
"WR",30,"prop_bud",0
"WR",30,"prop_flower",0
"WR",30,"prop_fruit",0
"WV",88,"prop_bud",0
"WV",88,"prop_flower",0
"WV",88,"prop_fruit",0
"YO11",77,"prop_bud",0
"YO11",77,"prop_flower",0
"YO11",77,"prop_fruit",0
"YO4",84,"prop_bud",0
"YO4",84,"prop_flower",0
"YO4",84,"prop_fruit",0
"YO7",77,"prop_bud",0
"YO7",77,"prop_flower",0
"YO7",77,"prop_fruit",0
"YO8",77,"prop_bud",0
"YO8",77,"prop_flower",0
"YO8",77,"prop_fruit",0
