"pop","total_individuals","stage","proportion"
"BH",111,"prop_bud",0.153153153153153
"BH",111,"prop_flower",0.135135135135135
"BH",111,"prop_fruit",0.135135135135135
"CC",44,"prop_bud",0.0454545454545455
"CC",44,"prop_flower",0
"CC",44,"prop_fruit",0
"CP2",38,"prop_bud",0.0263157894736842
"CP2",38,"prop_flower",0.0263157894736842
"CP2",38,"prop_fruit",0.0263157894736842
"CP3",8,"prop_bud",0
"CP3",8,"prop_flower",0
"CP3",8,"prop_fruit",0
"DPR",22,"prop_bud",0.227272727272727
"DPR",22,"prop_flower",0.0909090909090909
"DPR",22,"prop_fruit",0
"FR",38,"prop_bud",0.0263157894736842
"FR",38,"prop_flower",0
"FR",38,"prop_fruit",0
"IH",49,"prop_bud",0
"IH",49,"prop_flower",0
"IH",49,"prop_fruit",0
"LV1",3,"prop_bud",0
"LV1",3,"prop_flower",0
"LV1",3,"prop_fruit",0
"LV3",65,"prop_bud",0
"LV3",65,"prop_flower",0
"LV3",65,"prop_fruit",0
"LVTR1",15,"prop_bud",0
"LVTR1",15,"prop_flower",0
"LVTR1",15,"prop_fruit",0
"SC",36,"prop_bud",0.0833333333333333
"SC",36,"prop_flower",0.0277777777777778
"SC",36,"prop_fruit",0.0277777777777778
"SQ1",46,"prop_bud",0
"SQ1",46,"prop_flower",0
"SQ1",46,"prop_fruit",0
"SQ2",23,"prop_bud",0
"SQ2",23,"prop_flower",0
"SQ2",23,"prop_fruit",0
"SQ3",10,"prop_bud",0.1
"SQ3",10,"prop_flower",0.1
"SQ3",10,"prop_fruit",0.1
"TM2",37,"prop_bud",0.513513513513513
"TM2",37,"prop_flower",0.378378378378378
"TM2",37,"prop_fruit",0.351351351351351
"WL1",125,"prop_bud",0
"WL1",125,"prop_flower",0
"WL1",125,"prop_fruit",0
"WL2",26,"prop_bud",0.0384615384615385
"WL2",26,"prop_flower",0.0384615384615385
"WL2",26,"prop_fruit",0.0384615384615385
"WR",9,"prop_bud",0
"WR",9,"prop_flower",0
"WR",9,"prop_fruit",0
"WV",2,"prop_bud",0
"WV",2,"prop_flower",0
"WV",2,"prop_fruit",0
"YO11",14,"prop_bud",0
"YO11",14,"prop_flower",0
"YO11",14,"prop_fruit",0
"YO4",6,"prop_bud",0
"YO4",6,"prop_flower",0
"YO4",6,"prop_fruit",0
"YO7",17,"prop_bud",0
"YO7",17,"prop_flower",0
"YO7",17,"prop_fruit",0
"YO8",13,"prop_bud",0
"YO8",13,"prop_flower",0
"YO8",13,"prop_fruit",0
