"bed","row","col","unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","missing.date","census.date","survey.notes","pop","bud.date_dfp","flower.date_dfp","fruit.date_dfp","last.FL.date_dfp","last.FR.date_dfp","death.date_dfp","missing.date_dfp"
"A",1,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",1,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",2,"A","551",2024-03-28,2024-04-19,2024-04-26,2024-05-30,2024-05-30,NA,NA,NA,NA,NA,115,137,144,178,178,NA,NA
"A",2,"B","444",NA,NA,NA,NA,NA,2023-12-21,NA,NA,"12/21 plant ripped out of soil- no roots",NA,NA,NA,NA,NA,NA,17,NA
"A",3,"A","1315",NA,NA,NA,NA,NA,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA
"A",3,"B","1252",2024-03-28,2024-04-12,2024-04-19,2024-05-30,2024-05-30,NA,NA,NA,NA,NA,115,130,137,178,178,NA,NA
"A",4,"A","107",NA,NA,NA,NA,NA,2024-07-03,NA,NA,"4/5 white spots on leaves different from normal powdery mildew; not harvested","WL2",NA,NA,NA,NA,NA,212,NA
"A",4,"B","270",NA,NA,NA,NA,NA,2024-11-08,NA,"7/11/24",NA,"WV",NA,NA,NA,NA,NA,340,NA
"A",5,"A","765",2024-04-19,2024-05-10,2024-06-17,2024-07-03,2024-07-03,2024-11-08,NA,NA,"12/28 ripped out of soil- - reburied",NA,137,158,196,212,212,340,NA
"A",5,"B","472",2024-05-10,2024-05-15,2024-05-24,2024-06-17,2024-07-03,2024-11-08,NA,NA,NA,NA,158,163,172,196,212,340,NA
"A",6,"A","1344",NA,NA,NA,NA,NA,2024-04-19,NA,NA,"1/26 new tag made",NA,NA,NA,NA,NA,NA,137,NA
"A",6,"B","1035",NA,NA,NA,NA,NA,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA
"A",7,"A","622",2024-03-08,2024-04-05,2024-04-19,NA,NA,NA,NA,"17-May",NA,NA,95,123,137,NA,NA,NA,NA
"A",7,"B","119",NA,NA,NA,NA,NA,2024-06-27,NA,NA,NA,"WL2",NA,NA,NA,NA,NA,206,NA
"A",8,"A","658",2024-03-19,2024-04-12,2024-04-26,2024-05-16,2024-05-16,NA,NA,"17-May","1/26 ripped out at roots- reburied 2/2 reestablished",NA,106,130,144,164,164,NA,NA
"A",8,"B","684",2024-01-19,2024-02-16,2024-02-23,NA,NA,2024-04-12,NA,NA,"3/28 lots of fruit 4/5 pulled up/tipped - reburied 4/12 uppooted",NA,46,74,81,NA,NA,130,NA
"A",9,"A","283",NA,NA,NA,NA,NA,2024-04-12,NA,NA,"4/5 leaves dying","LV1",NA,NA,NA,NA,NA,130,NA
"A",9,"B","516",NA,NA,NA,NA,NA,2024-11-08,NA,NA,"7/11/24 leaves dring",NA,NA,NA,NA,NA,NA,340,NA
"A",10,"A","131",2024-04-19,2024-04-26,2024-04-26,2024-05-16,2024-05-16,NA,NA,"17-May","5/2; 4 written in fruit. date col deleted during verification","WL2",137,144,144,164,164,NA,NA
"A",10,"B","864",NA,NA,NA,NA,NA,NA,2024-01-26,NA,"1/26 stem broken by crow",NA,NA,NA,NA,NA,NA,NA,53
"A",11,"A","643",2024-03-19,2024-04-05,2024-04-19,2024-05-30,2024-05-30,NA,NA,NA,NA,NA,106,123,137,178,178,NA,NA
"A",11,"B","191",NA,NA,NA,NA,NA,2024-04-19,NA,NA,NA,"WL2",NA,NA,NA,NA,NA,137,NA
"A",12,"A","720",2024-03-19,2024-03-28,2024-04-19,2024-05-16,2024-05-16,NA,NA,NA,NA,NA,106,115,137,164,164,NA,NA
"A",12,"B","535",NA,NA,NA,NA,NA,2024-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA
"A",13,"A","1267",2024-03-19,2024-03-28,2024-04-05,2024-05-24,2024-05-24,NA,NA,NA,"Lots of fruit 4/19/24 near last Flower",NA,106,115,123,172,172,NA,NA
"A",13,"B","1228",2024-02-23,2024-03-28,2024-03-28,2024-05-10,2024-05-16,NA,NA,"17-May","Lots of fruit 4/19/24",NA,81,115,115,158,164,NA,NA
"A",14,"A","1023",NA,NA,NA,NA,NA,NA,2024-03-08,NA,"3/8 ripped out",NA,NA,NA,NA,NA,NA,NA,95
"A",14,"B","1095",NA,NA,NA,NA,NA,NA,NA,NA,"1/26 ripped out at roots - reburied 2/2 reestablished 11/8 alive / V",NA,NA,NA,NA,NA,NA,NA,NA
"A",15,"A","1367",2024-03-28,2024-04-19,2024-04-26,NA,NA,NA,NA,NA,"7/3 already harvested last fl and fr as harvest date",NA,115,137,144,NA,NA,NA,NA
"A",15,"B","344",NA,NA,NA,NA,NA,2024-04-05,NA,NA,"3/28 leaves dying","WL1",NA,NA,NA,NA,NA,123,NA
"A",16,"A","95",2024-04-05,2024-04-19,2024-05-10,2024-05-24,2024-05-24,NA,NA,NA,"1/19 Plant ripped out at roots-stem broken","TM2",123,137,158,172,172,NA,NA
"A",16,"B","380",NA,NA,NA,NA,NA,NA,NA,NA,"3/1 ripped out at roots branch broken reburied. 3/8 res 11/8 alive / V",NA,NA,NA,NA,NA,NA,NA,NA
"A",17,"A","2002",2024-03-28,2024-04-19,2024-04-26,2024-05-24,2024-05-24,NA,NA,NA,NA,NA,115,137,144,172,172,NA,NA
"A",17,"B","32",2024-03-08,2024-03-28,2024-04-05,2024-05-30,2024-05-30,NA,NA,NA,NA,"TM2",95,115,123,178,178,NA,NA
"A",18,"A","1060",2024-04-05,2024-04-19,2024-05-10,2024-05-24,2024-05-30,NA,NA,NA,NA,NA,123,137,158,172,178,NA,NA
"A",18,"B","78",2024-02-16,2024-03-19,2024-03-28,2024-05-03,2024-05-16,NA,NA,"3-May","Lots of Fruit 4/19/24 near last flower","TM2",74,106,115,151,164,NA,NA
"A",19,"A","167",NA,NA,NA,NA,NA,NA,2024-03-01,NA,"3/1 ripped out","WL2",NA,NA,NA,NA,NA,NA,88
"A",19,"B","257",2024-04-05,2024-04-19,2024-04-26,2024-05-16,2024-05-30,NA,NA,NA,NA,"CC",123,137,144,164,178,NA,NA
"A",20,"A","849",NA,NA,NA,NA,NA,NA,2024-03-01,NA,"3/1 ripped out",NA,NA,NA,NA,NA,NA,NA,88
"A",20,"B","489",2024-04-19,2024-05-03,2024-05-10,2024-06-17,2024-06-17,NA,NA,NA,NA,NA,137,151,158,196,196,NA,NA
"A",21,"A","403",2024-03-08,2024-04-05,2024-04-19,2024-05-24,2024-05-24,NA,NA,NA,NA,NA,95,123,137,172,172,NA,NA
"A",21,"B","915",NA,NA,NA,NA,NA,2024-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA
"A",22,"A","1293",NA,NA,NA,NA,NA,2024-05-24,NA,NA,"11/8 harvested",NA,NA,NA,NA,NA,NA,172,NA
"A",22,"B","227",2024-04-19,2024-05-03,2024-05-03,NA,NA,NA,NA,"17-May","white spots","DPR",137,151,151,NA,NA,NA,NA
"A",23,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",23,"B","356",NA,NA,NA,NA,NA,2024-04-12,NA,NA,NA,"WL1",NA,NA,NA,NA,NA,130,NA
"A",24,"A","679",2024-02-23,2024-03-19,NA,NA,NA,2024-04-12,NA,NA,"3/19 partially pulled up leaves wilting 3/28 leaves dying",NA,81,106,NA,NA,NA,130,NA
"A",24,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",25,"A","820",2024-05-24,2024-05-24,2024-07-03,2024-07-03,2024-07-03,2024-11-08,NA,NA,"1/12 ripped out of soil- reburied. 1/26 ripped out. 2/2 re 73 already had fruit",NA,172,172,212,212,212,340,NA
"A",25,"B","89",2024-03-19,2024-04-05,2024-04-19,2024-05-16,2024-05-16,NA,NA,NA,NA,"TM2",106,123,137,164,164,NA,NA
"A",26,"A","561",2024-04-12,2024-04-19,2024-04-26,NA,NA,NA,NA,NA,NA,NA,130,137,144,NA,NA,NA,NA
"A",26,"B","1377",2024-03-19,2024-04-12,2024-04-19,2024-06-07,2024-06-07,NA,NA,NA,"3/19 weird buds 4/5 tipping-roots exposed",NA,106,130,137,186,186,NA,NA
"A",27,"A","251",2024-03-28,2024-04-19,2024-04-19,2024-05-16,2024-05-16,NA,NA,"17-May",NA,"CC",115,137,137,164,164,NA,NA
"A",27,"B","152",NA,NA,NA,NA,NA,NA,2024-03-19,NA,"3/1- ripped out Reburied 3/8 leaves dying","WL2",NA,NA,NA,NA,NA,NA,106
"A",28,"A","846",NA,NA,NA,NA,NA,NA,2024-01-26,NA,"1/26 plant missing",NA,NA,NA,NA,NA,NA,NA,53
"A",28,"B","1389",2024-03-19,2024-04-05,2024-04-19,2024-06-07,2024-06-07,NA,NA,NA,"3/19 weird buds 4/5 tipping-roots exposed",NA,106,123,137,186,186,NA,NA
"A",29,"A","729",2024-03-28,2024-04-19,2024-05-10,2024-05-30,2024-05-30,NA,NA,NA,NA,NA,115,137,158,178,178,NA,NA
"A",29,"B","619",2024-03-08,2024-04-05,2024-04-12,2024-05-10,2024-05-16,NA,NA,"17-May","Lots of fruit near last flower",NA,95,123,130,158,164,NA,NA
"A",30,"A","1364",2024-03-08,2024-03-28,2024-04-19,2024-05-16,2024-05-16,NA,NA,"17-May","1/26 chewing damage at base of stem near last Flower",NA,95,115,137,164,164,NA,NA
"A",30,"B","600",NA,NA,NA,NA,NA,2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA
"A",31,"A","486",2024-03-28,2024-04-19,2024-05-10,2024-05-24,2024-05-24,NA,NA,NA,"4/5 white spots different from normal powdery mildew",NA,115,137,158,172,172,NA,NA
"A",31,"B","1020",NA,NA,NA,NA,NA,NA,NA,NA,"7/11/24 leaves drying 11/8 alive",NA,NA,NA,NA,NA,NA,NA,NA
"A",32,"A","1213",2024-03-19,2024-04-12,2024-04-19,2024-05-16,2024-05-16,NA,NA,NA,NA,NA,106,130,137,164,164,NA,NA
"A",32,"B","1150",NA,NA,NA,NA,NA,2024-03-08,NA,NA,"correct CSV",NA,NA,NA,NA,NA,NA,95,NA
