"pop","total_individuals","stage","proportion"
"BH",21,"prop_bud",0.761904761904762
"BH",21,"prop_flower",0.714285714285714
"BH",21,"prop_fruit",0.714285714285714
"CC",14,"prop_bud",0.928571428571429
"CC",14,"prop_flower",0.928571428571429
"CC",14,"prop_fruit",0.857142857142857
"DPR",21,"prop_bud",0.857142857142857
"DPR",21,"prop_flower",0.857142857142857
"DPR",21,"prop_fruit",0.857142857142857
"LV1",10,"prop_bud",0
"LV1",10,"prop_flower",0
"LV1",10,"prop_fruit",0
"SQ3",4,"prop_bud",0.5
"SQ3",4,"prop_flower",0.5
"SQ3",4,"prop_fruit",0.25
"TM2",81,"prop_bud",0.901234567901235
"TM2",81,"prop_flower",0.876543209876543
"TM2",81,"prop_fruit",0.876543209876543
"WL1",21,"prop_bud",0
"WL1",21,"prop_flower",0
"WL1",21,"prop_fruit",0
"WL2",98,"prop_bud",0.0816326530612245
"WL2",98,"prop_flower",0.0612244897959184
"WL2",98,"prop_fruit",0.0612244897959184
"WV",21,"prop_bud",0
"WV",21,"prop_flower",0
"WV",21,"prop_fruit",0
"YO11",11,"prop_bud",0
"YO11",11,"prop_flower",0
"YO11",11,"prop_fruit",0
