pop.id,mf,rep,block,bed,rack,col,row,unique.ID,notes
buffer,buffer,buffer,A1,A,1,A,1,buffer,
buffer,buffer,buffer,A1,A,1,B,1,buffer,
buffer,buffer,buffer,A1,A,1,C,1,buffer,
buffer,buffer,buffer,A1,A,1,D,1,buffer,
SQ3 x TM2,,7,A1,A,1,A,2,551,
DPR x TM2,,20,A1,A,1,B,2,444,
TM2 x (TM2 x BH),,8,A1,A,1,C,2,1199,
(TM2 x WL2) x WL2,,7,A1,A,1,D,2,1281,
(YO11 x WL2) x WL2,,5,A1,A,1,A,3,1315,
(TM2 x WL2) x (TM2 x BH),,1,A1,A,1,B,3,1252,
WL2-11,11,11,A1,A,1,C,3,179,
(TM2 x BH) x TM2,,5,A1,A,1,D,3,1216,
WL2-1,1,9,A1,A,1,A,4,107,
WV,5,4,A1,A,1,B,4,270,
(TM2 x BH) x (TM2 x WL2),,9,A1,A,1,C,4,1240,
WV x TM2,,2,A1,A,1,D,4,987,
TM2 x YO11,,11,A1,A,1,A,5,765,
DPR x WL2,,18,A1,A,1,B,5,472,
LV1 x TM2,,17,A1,A,1,C,5,501,
TM2-5,5,6,A1,A,1,D,5,62,
(WV x WL2) x WV,,14,A1,A,1,A,6,1344,
WV x WL2,,20,A1,A,1,B,6,1035,
BH,7,1,A1,A,1,C,6,215,
(WL2 x DPR) x WL2,,6,A1,A,1,D,6,1071,
TM2 x CC,,4,A1,A,1,A,7,622,
WL2-3,3,7,A1,A,1,B,7,119,
WL2-9,9,3,A1,A,1,C,7,143,
(LV1 x WL2) x WL2,,7,A1,A,1,D,7,1141,
TM2 x DPR,,10,A1,A,1,A,8,658,
TM2 x WL1,,6,A1,A,1,B,8,684,
TM2-1,1,6,A1,A,1,C,8,6,
WL1 x TM2,,8,A1,A,1,D,8,779,
LV1,2,2,A1,A,1,A,9,283,
LV1 x WL2,,2,A1,A,1,B,9,516,
WV x TM2,,14,A1,A,1,C,9,999,
WL2 x WV,,13,A1,A,1,D,9,952,
WL2-8,8,5,A1,A,1,A,10,131,
WL2 x DPR,,4,A1,A,1,B,10,864,
TM2 x WV,,9,A1,A,1,C,10,747,
SQ3 x WL2,,2,A1,A,1,D,10,576,
TM2 x CC,,25,A1,A,1,A,11,643,
WL2-12,12,9,A1,A,1,B,11,191,
WV x TM2,,3,A1,A,1,C,11,2014,
CC,1,1,A1,A,1,D,11,239,
TM2 x WL2,,12,A1,A,1,A,12,720,
LV1 x WL2,,21,A1,A,1,B,12,535,
TM2 x WL1,,30,A1,A,1,C,12,708,
