block,row,col,Genotype,pop,mf,rep,elevation.group,elev_m,Lat,Long,flowers,fruits,FrFlN,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,UCD_Lat,UCD_Long,UCD_Elev,Geographic_Dist,Elev_Dist
D1,4,D,YO7_8_1,YO7,8,1,High,2469.978665,37.80903,-119.56605,0,0,0,0.39806151128351625,0.39458929857912795,0.5787871938125694,0.5897844310773136,38.5325,-121.783,16,210062.73629653853,-2453.978665
D2,26,B,BH_5_15,BH,5,15,Low,511.4294422,37.40985,-119.96458,10,2,12,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
D2,29,C,BH_4_13,BH,4,13,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
D2,29,D,BH_2_9,BH,2,9,Low,511.4294422,37.40985,-119.96458,0,2,2,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
D2,30,B,BH_4_3,BH,4,3,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
D2,31,B,TM2_4_11,TM2,4,11,Low,379.1526973,39.59255,-121.55072,18,250,268,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
D2,35,D,BH_3_6,BH,3,6,Low,511.4294422,37.40985,-119.96458,33,286,319,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F1,4,C,TM2_5_7,TM2,5,7,Low,379.1526973,39.59255,-121.55072,4,661,665,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
F1,15,A,BH_6_9,BH,6,9,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F2,27,B,WL2_3_13,WL2,3,13,High,2020.115818,38.8263,-120.25242,0,0,0,0.2707707704159816,0.27680813573486934,0.5828742275237192,0.5656479680106546,38.5325,-121.783,16,136970.70632835763,-2004.115818
F2,29,B,BH_4_5,BH,4,5,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F2,35,D,BH_2_1,BH,2,1,Low,511.4294422,37.40985,-119.96458,8,35,43,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F2,40,B,BH_5_12,BH,5,12,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
F2,40,D,TM2_1_4,TM2,1,4,Low,379.1526973,39.59255,-121.55072,5,4,9,0.40947349333616967,0.35035897406878463,0.3053494140449003,0.2804399974651661,38.5325,-121.783,16,119699.84840825829,-363.1526973
H1,4,B,BH_2_12,BH,2,12,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H1,5,B,SC_4_2,SC,4,2,Low,421.5178299,38.41167,-120.73583000000001,0,0,0,0.2599068660312357,0.2472018352626114,0.19208256358582085,0.22299687308917487,38.5325,-121.783,16,92249.6541866876,-405.5178299
H1,8,B,BH_3_9,BH,3,9,Low,511.4294422,37.40985,-119.96458,0,0,0,0.20863150010047643,0.2480781626442624,0.22583474182538152,0.23216986351302016,38.5325,-121.783,16,202681.18817083153,-495.4294422
H1,10,A,WL2_4_4,WL2,4,4,High,2020.115818,38.8263,-120.25242,0,0,0,0.2707707704159816,0.27680813573486934,0.5828742275237192,0.5656479680106546,38.5325,-121.783,16,136970.70632835763,-2004.115818
