block ,bed ,row ,col ,unique.ID ,bud.date ,flower.date ,fruit.date ,last.FL.date ,last.FR.date ,death.date ,missing.date,survey.notes 
NA ,A ,1,A ,TM2_6_11 ,,,,,,,,TM2 fruiting from 2023 
NA ,A ,6,B ,CC_3_3 ,,,,,,6/18/24,,
NA ,A ,16,B ,BH_3_3 ,,,,,,6/18/24,,6/18/24 No tag 
NA ,A ,17,A ,BH_7_3 ,6/18/24,7/2/24,7/9/24,8/13/24,8/20/24,10/2/24,,
NA ,A ,18,A ,BH_4_3 ,6/18/24,,7/23/24,,,8/20/24,,6/18/24 No tag /missed FL date 
NA ,A ,24,A ,WL2_7_9 ,6/18/24,6/18/24,7/2/24,8/13/24,8/27/24,10/2/24,,
NA ,A ,32,B ,IH_7_4 ,6/18/24,7/9/24,7/16/24,8/27/24,8/27/24,10/2/24,,8/20 tape fruit 8/27 stems with buds dead 
NA ,A ,35,A ,SC_8_4 ,6/18/24,7/2/24,7/16/24,8/20/24,8/27/24,10/2/24,,8/20 aphids 
NA ,A ,36,A ,BH_3_4 ,6/18/24,7/9/24,7/16/24,8/27/24,8/27/24,10/2/24,,8/20 tape fruit 
NA ,A ,39,B ,WL2_7_10 ,6/18/24,6/18/24,7/2/24,8/27/24,9/3/24,10/2/24,,8/20 tape fruit 
NA ,A ,43,A ,TM2_6_1 ,,,,,,,,TM2 fruiting from 2023 
NA ,A ,45,B ,IH_2_4 ,7/2/24,7/16/24,7/23/24,9/3/24,9/10/24,10/16/24,,
NA ,A ,49,A ,YO7_7_23 ,6/18/24,6/18/24,7/9/24,7/23/24,7/30/24,9/3/24,,fruit drying 8/6/24 / dehissing 8/13/24 
NA ,A ,53,A ,CC_4_4 ,6/18/24,7/2/24,7/23/24,8/20/24,8/27/24,10/2/24,,
NA ,A ,53,B ,BH_7_4 ,6/25/24,7/9/24,7/16/24,8/13/24,8/13/24,9/17/24,,9/17/24 No leaves 
NA ,A ,56,B ,TM2_2_12 ,,,,,,,,TM2 fruiting from 2023 
NA ,A ,14,D ,CC_8_3 ,6/18/24,,,,,7/9/24,,6/25/24 snapped off 7/12/24 resprouting 
NA ,A ,15,C ,CC_1_3 ,6/18/24,7/9/24,7/16/24,9/3/24,9/24/24,,,10/9 new flowers and buds
NA ,A ,17,D ,BH_2_3 ,6/18/24,7/2/24,7/9/24,9/3/24,9/10/24,,,8/27 main stem at last FR but side stem still active / 9/10 dehiscing 
NA ,A ,22,D ,SC_8_3 ,6/18/24,7/9/24,7/23/24,9/3/24,9/17/24,,,7/16 some buds dying 
NA ,A ,23,D ,TM2_3_3 ,,,,,,,,TM2 fruiting from 2023 
NA ,A ,36,C ,SC_2_4 ,6/18/24,7/2/24,7/9/24,8/6/24,8/6/24,10/2/24,,7/23 no FL but still buds 8/13 all buds and flowers are gone 9/17 No learts 
NA ,A ,44,C ,TM2_6_3 ,,,,,,,,TM2 fruiting from 2023 / 3 small rosettes nearby 
NA ,A ,45,D ,SC_4_4 ,6/18/24,7/2/24,7/16/24,8/13/24,8/13/24,10/2/24,,
NA ,A ,46,D ,SQ1_5_10 ,6/25/24,7/23/24,8/13/24,9/3/24,9/10/24,,,7/16 some buds look deformed or damaged 7/30 spider nest on leaf 
NA ,A ,50,D ,IH_6_4 ,7/9/24,7/16/24,7/23/24,8/27/24,8/27/24,10/2/24,,
NA ,A ,56,C ,IH_1_4 ,6/25/24,7/23/24,7/30/24,8/27/24,8/27/24,10/2/24,,7/16 some buds look deformed or damaged 8/20 tape 
NA ,A ,58,D ,YO7_7_13 ,6/18/24,6/18/24,7/2/24,8/6/24,8/13/24,9/3/24,,8/13/24 some dehiscing 8/27 many dehisced fruits 
NA ,B ,22,A ,IH_3_5 ,6/18/24,7/9/24,7/23/24,9/24/24,10/16/24,,,10/9 still budding /taped 
NA ,B ,25,A ,IH_6_5 ,6/18/24,7/9/24,7/16/24,10/23/24,10/23/24,,,7/30 buds dying 8/20 tape 10/9 tape 
NA ,B ,37,A ,TM2_1_16 ,,,,,,,,TM2 fruiting from 2023 
NA ,B ,42,A ,BH_2_5 ,6/18/24,7/2/24,7/9/24,8/13/24,8/13/24,10/2/24,,7/30 dying buds 9/17 dehisce 
