block,loc,bed,row,col,pop,mf,rep,unique.ID
NA,A_1_A,A,1,A,TM2,6,11,TM2_6_11
NA,A_6_B,A,6,B,CC,3,3,CC_3_3
NA,A_16_B,A,16,B,BH,3,3,BH_3_3
NA,A_17_A,A,17,A,BH,7,3,BH_7_3
NA,A_18_A,A,18,A,BH,4,3,BH_4_3
NA,A_24_A,A,24,A,WL2,7,9,WL2_7_9
NA,A_32_B,A,32,B,IH,7,4,IH_7_4
NA,A_35_A,A,35,A,SC,8,4,SC_8_4
NA,A_36_A,A,36,A,BH,3,4,BH_3_4
NA,A_39_B,A,39,B,WL2,7,10,WL2_7_10
NA,A_43_A,A,43,A,TM2,6,1,TM2_6_1
NA,A_45_B,A,45,B,IH,2,4,IH_2_4
NA,A_49_A,A,49,A,YO7,7,23,YO7_7_23
NA,A_53_A,A,53,A,CC,4,4,CC_4_4
NA,A_53_B,A,53,B,BH,7,4,BH_7_4
NA,A_56_B,A,56,B,TM2,2,12,TM2_2_12
NA,A_14_D,A,14,D,CC,8,3,CC_8_3
NA,A_15_C,A,15,C,CC,1,3,CC_1_3
NA,A_17_D,A,17,D,BH,2,3,BH_2_3
NA,A_22_D,A,22,D,SC,8,3,SC_8_3
NA,A_23_D,A,23,D,TM2,3,3,TM2_3_3
NA,A_36_C,A,36,C,SC,2,4,SC_2_4
NA,A_44_C,A,44,C,TM2,6,3,TM2_6_3
NA,A_45_D,A,45,D,SC,4,4,SC_4_4
NA,A_46_D,A,46,D,SQ1,5,10,SQ1_5_10
NA,A_50_D,A,50,D,IH,6,4,IH_6_4
NA,A_56_C,A,56,C,IH,1,4,IH_1_4
NA,A_58_D,A,58,D,YO7,7,13,YO7_7_13
NA,B_22_A,B,22,A,IH,3,5,IH_3_5
NA,B_25_A,B,25,A,IH,6,5,IH_6_5
NA,B_37_A,B,37,A,TM2,1,16,TM2_1_16
NA,B_42_A,B,42,A,BH,2,5,BH_2_5
NA,B_43_A,B,43,A,BH,5,5,BH_5_5
NA,B_56_A,B,56,A,SC,6,15,SC_6_15
NA,B_57_A,B,57,A,IH,4,4,IH 4 4
NA,B_19_D,B,19,D,CC,2,6,CC_2_6
NA,B_26_C,B,26,C,IH,5,5,IH_5_5
NA,B_28_C,B,28,C,BH,4,5,BH_4_5
NA,B_36_D,B,36,D,TM2,1,4,TM2_1_4
NA,B_43_D,B,43,D,TM2,7,10,TM2_7_10
NA,B_45_C,B,45,C,WL2,1,11,WL2_1_11
NA,B_47_C,B,47,C,YO7,4,6,YO7_4_6
NA,B_56_C,B,56,C,TM2,1,3,TM2_1_3
NA,B_57_D,B,57,D,BH,2,4,BH_2_4
A,C_1_A,C,1,A,NA,NA,NA,buffer
A,C_1_B,C,1,B,NA,NA,NA,buffer
A,C_2_A,C,2,A,NA,NA,NA,buffer
A,C_2_B,C,2,B,NA,NA,NA,buffer
A,C_3_A,C,3,A,NA,NA,NA,buffer
A,C_3_B,C,3,B,NA,NA,NA,buffer
A,C_4_A,C,4,A,(WV x WL2) x (WV),NA,13,280
A,C_4_B,C,4,B,(LV1 x WL2) x (TM2 x WL2),NA,7,949
A,C_5_A,C,5,A,TM2,NA,70,540
A,C_5_B,C,5,B,(TM2 x WL2) x (SQ3 x WL2),NA,13,317
NA,C_6_A,C,6,A,CC,1,6,CC_1_6
A,C_6_B,C,6,B,(WL2 x BH) x (SQ3 x WL2),NA,14,1175
A,C_7_A,C,7,A,(TM2 x WL2) x (TM2 x WL2),NA,10,1091
A,C_7_B,C,7,B,(LV1 x WL2) x (WL2 x DPR),NA,13,968
A,C_8_A,C,8,A,(WL1 x WL2) x (BH x WL2),NA,2,333
A,C_8_B,C,8,B,(TM2 x WL2) x (YO11 x WL2),NA,2,374
A,C_9_B,C,9,B,TM2,NA,51,521
A,C_10_A,C,10,A,BH,NA,6,392
A,C_10_B,C,10,B,(WL1 x WL2) x (WL2 x TM2),NA,15,1160
A,C_11_A,C,11,A,TM2,NA,9,479
A,C_11_B,C,11,B,(WL2 x TM2) x (CC x TM2),NA,13,264
A,C_12_A,C,12,A,WV x TM2,NA,7,199
A,C_12_B,C,12,B,(WL2 x DPR) x (WL2),NA,5,1102
A,C_13_A,C,13,A,(TM2 x WL2) x (TM2),NA,2,344
A,C_13_B,C,13,B,(SQ3 x WL2) x (YO11 x WL2),NA,12,1511
A,C_14_A,C,14,A,WL2,NA,3,98
A,C_14_B,C,14,B,(SQ3 x WL2) x (SQ3 x WL2),NA,4,868
A,C_15_A,C,15,A,WL2,NA,30,125
A,C_15_B,C,15,B,(YO11 x WL2) x (SQ3 x WL2),NA,6,1007
A,C_16_A,C,16,A,(WL1 x WL2) x (WL2 x CC),NA,6,1119
A,C_16_B,C,16,B,WL2,NA,94,189
A,C_17_A,C,17,A,(LV1 x WL2) x (WL2),NA,8,71
A,C_17_B,C,17,B,TM2,NA,37,507
A,C_18_A,C,18,A,(TM2 x BH) x (TM2 x BH),NA,2,1336
A,C_18_B,C,18,B,(LV1 x WL2) x (SQ3 x WL2),NA,9,980
A,C_19_A,C,19,A,NA,NA,NA,NA
A,C_19_B,C,19,B,NA,NA,NA,NA
B,C_20_A,C,20,A,CC,NA,6,413
B,C_20_B,C,20,B,(DPR x WL2) x (YO11 x WL2),NA,4,698
B,C_21_A,C,21,A,WV x TM2,NA,22,215
B,C_21_B,C,21,B,BH,NA,21,407
B,C_22_A,C,22,A,TM2,NA,62,532
NA,C_22_B,C,22,B,BH,6,7,BH_6_7
B,C_23_A,C,23,A,WV,NA,20,469
B,C_23_B,C,23,B,WL2,NA,23,118
B,C_24_A,C,24,A,(WV x WL2) x (WV),NA,14,281
B,C_24_B,C,24,B,(DPR x WL2) x (WV x WL2),NA,3,1459
B,C_25_A,C,25,A,LV1 x WL2,NA,25,1275
B,C_25_B,C,25,B,(LV1 x WL2) x (WL2),NA,9,72
B,C_26_A,C,26,A,TM2,NA,24,494
B,C_26_B,C,26,B,WL2,NA,59,154
B,C_27_A,C,27,A,(WV) x (WV x WL2),NA,12,1398
B,C_27_B,C,27,B,WV x TM2,NA,8,200
B,C_28_A,C,28,A,TM2,NA,10,480
B,C_28_B,C,28,B,(TM2 x WL2) x (TM2),NA,5,347
B,C_29_A,C,29,A,LV1,NA,17,17
B,C_29_B,C,29,B,(WL1 x WL2) x (BH x WL2),NA,10,341
B,C_30_A,C,30,A,LV1 x TM2,NA,4,1228
B,C_30_B,C,30,B,TM2,NA,43,513
B,C_31_A,C,31,A,(YO11 x WL2) x (WL2),NA,13,939
B,C_31_B,C,31,B,TM2,NA,73,543
B,C_32_A,C,32,A,(TM2 x BH) x (TM2),NA,4,1053
B,C_32_B,C,32,B,TM2 x WL2,NA,3,1279
B,C_33_B,C,33,B,WL2,NA,88,183
B,C_34_A,C,34,A,(YO11 x WL2) x (DPR x WL2),NA,4,776
B,C_34_B,C,34,B,LV1,NA,2,2
B,C_35_A,C,35,A,WL2,NA,41,136
B,C_35_B,C,35,B,(TM2 x BH) x (TM2 x BH),NA,14,1348
B,C_36_A,C,36,A,NA,NA,NA,NA
NA,C_36_B,C,36,B,SC,2,19,SC_2_19
C,C_37_A,C,37,A,WL2,NA,50,145
C,C_37_B,C,37,B,TM2 x WL2,NA,13,1289
C,C_38_A,C,38,A,CC x TM2,NA,12,1362
C,C_38_B,C,38,B,WL2,NA,33,128
C,C_39_A,C,39,A,(TM2 x BH) x (TM2 x BH),NA,13,1347
C,C_39_B,C,39,B,(YO11 x WL2) x (SQ3 x WL2),NA,2,1003
C,C_40_A,C,40,A,(WL2 x BH) x (SQ3 x WL2),NA,1,1162
NA,C_40_B,C,40,B,BH,1,7,BH_1_7
C,C_41_A,C,41,A,(DPR) x (WL2 x DPR),NA,12,738
C,C_41_B,C,41,B,WL2,NA,5,100
C,C_42_A,C,42,A,(WL2 x DPR) x (TM2 x WL2),NA,1,1314
C,C_42_B,C,42,B,(SQ3 x WL2) x (TM2 x WL2),NA,10,888
C,C_43_A,C,43,A,(LV1 x WL2) x (WL2),NA,10,73
C,C_43_B,C,43,B,(TM2 x WL2) x (TM2),NA,13,355
C,C_44_A,C,44,A,TM2,NA,11,481
C,C_44_B,C,44,B,LV1 x TM2,NA,5,1229
NA,C_45_A,C,45,A,BH,7,7,BH_7_7
C,C_45_B,C,45,B,(WL1 x WL2) x (WL2 x CC),NA,8,1121
C,C_46_A,C,46,A,WV,NA,3,452
C,C_46_B,C,46,B,LV1,NA,20,20
C,C_47_A,C,47,A,WL2,NA,92,187
NA,C_47_B,C,47,B,IH,2,7,IH_2_7
C,C_48_A,C,48,A,(TM2 x WL2) x (WL2),NA,5,361
C,C_48_B,C,48,B,(WL2 x BH) x (WL2 x TM2),NA,8,243
C,C_49_A,C,49,A,(WL2 x CC) x (WL2 x TM2),NA,10,1187
C,C_49_B,C,49,B,WV x TM2,NA,9,201
C,C_50_A,C,50,A,(WL2) x (DPR x WL2),NA,13,907
C,C_50_B,C,50,B,BH,NA,18,404
C,C_51_A,C,51,A,NA,NA,NA,NA
C,C_51_B,C,51,B,NA,NA,NA,NA
D,C_52_A,C,52,A,WV x WL2,NA,7,1409
D,C_52_B,C,52,B,(LV1 x WL2) x (WL2),NA,11,74
D,C_53_A,C,53,A,(WL2 x BH) x (WL2 x TM2),NA,13,248
NA,C_53_B,C,53,B,IH,3,8,IH_3_8
D,C_54_A,C,54,A,LV1 x WL2,NA,5,1255
NA,C_54_B,C,54,B,TM2,1,14,TM2_1_14
NA,C_55_A,C,55,A,YO7,1,4,YO7_1_4
D,C_55_B,C,55,B,(WL1 x WL2) x (WL2 x CC),NA,11,1124
D,C_56_A,C,56,A,(DPR) x (WL2 x DPR),NA,13,739
D,C_56_B,C,56,B,LV1 x TM2,NA,17,1241
D,C_57_A,C,57,A,SQ3,NA,13,34
D,C_57_B,C,57,B,WV,NA,4,453
D,C_58_A,C,58,A,BH,NA,9,395
D,C_58_B,C,58,B,(WL2 x TM2) x (CC x TM2),NA,16,267
D,C_59_A,C,59,A,NA,NA,NA,buffer
D,C_59_B,C,59,B,NA,NA,NA,buffer
D,C_60_A,C,60,A,NA,NA,NA,buffer
D,C_60_B,C,60,B,NA,NA,NA,buffer
A,C_1_C,C,1,C,NA,NA,NA,buffer
A,C_1_D,C,1,D,NA,NA,NA,buffer
A,C_2_C,C,2,C,SC,5,6,SC_5_6
A,C_2_D,C,2,D,CC,9,6,CC_9_6
A,C_3_C,C,3,C,NA,NA,NA,buffer
A,C_3_D,C,3,D,(SQ3 x WL2) x (WL2),NA,8,87
A,C_4_C,C,4,C,(LV1 x WL2) x (YO11 x WL2),NA,2,987
A,C_4_D,C,4,D,NA,NA,NA,buffer
A,C_5_C,C,5,C,(BH) x (TM2 x BH),NA,4,666
A,C_5_D,C,5,D,NA,NA,NA,1185
A,C_6_C,C,6,C,LV1 x TM2,NA,3,1227
A,C_6_D,C,6,D,(WL2 x CC) x (WL2 x TM2),NA,8,487
A,C_7_C,C,7,C,(WL2 x BH) x (SQ3 x WL2),NA,11,1172
A,C_7_D,C,7,D,TM2,NA,17,1127
A,C_8_C,C,8,C,WL2,NA,72,167
A,C_8_D,C,8,D,(WL1 x WL2) x (WL2 x CC),NA,14,NA
A,C_9_C,C,9,C,(TM2 x BH) x (BH),NA,10,752
A,C_9_D,C,9,D,(SQ3 x WL2) x (TM2 x WL2),NA,8,886
A,C_10_C,C,10,C,WL1,NA,20,303
NA,C_10_D,C,10,D,BH,3,6,BH_3_6
A,C_11_C,C,11,C,(WL2) x (WV x WL2),NA,5,763
A,C_11_D,C,11,D,(WV) x (WV x WL2),NA,11,1397
A,C_12_C,C,12,C,TM2 x WL2,NA,10,1286
A,C_12_D,C,12,D,LV1,NA,1,1
A,C_13_C,C,13,C,(DPR) x (WL2 x DPR),NA,10,736
A,C_13_D,C,13,D,LV1 x TM2,NA,21,1245
A,C_14_C,C,14,C,WL2,NA,54,149
A,C_14_D,C,14,D,WV x WL2,NA,21,1423
A,C_15_C,C,15,C,SQ3,NA,20,41
A,C_15_D,C,15,D,TM2,NA,90,560
A,C_16_C,C,16,C,WL2,NA,35,130
A,C_16_D,C,16,D,(YO11 x WL2) x (WL2),NA,6,932
A,C_17_C,C,17,C,(TM2 x WL2) x (WL2),NA,15,371
A,C_17_D,C,17,D,BH x TM2,NA,16,600
A,C_18_C,C,18,C,NA,NA,NA,NA
A,C_18_D,C,18,D,NA,NA,NA,NA
B,C_19_C,C,19,C,(TM2 x WL2) x (SQ3 x WL2),NA,5,309
B,C_19_D,C,19,D,WL1,NA,15,298
B,C_20_C,C,20,C,(YO11 x WL2) x (WL2 x TM2),NA,3,790
B,C_20_D,C,20,D,(WL1 x WL2) x (WL2 x CC),NA,10,1123
B,C_21_C,C,21,C,(WL2 x CC) x (SQ3 x WL2),NA,7,1311
