"","bed","row","col","Unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","round2.rep.dates","survey.notes","...13","pop","mf","dame_mf","sire_mf","rep","cross_type","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","bud.duration","flower.duration","fruit.duration","total.repro.duration","initiate.repro"
"1","C",1,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2","C",1,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3","C",2,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4","C",2,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5","C",3,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6","C",3,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7","C",4,"A","2566",NA,NA,NA,NA,NA,2025-06-17,NA,NA,NA,"(WV x WL2) x (WL2 x BH)","2_2","2","2",7,"F2",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,0
"8","C",4,"B","2595",NA,NA,NA,NA,NA,2025-07-03,NA,"6/27: dying",NA,"(SQ3 x WL2) x (WL2)","12_16-A","12","16-A",23,"BC1",NA,NA,NA,NA,NA,49,NA,NA,NA,NA,0
"9","C",5,"A","2642",NA,NA,NA,NA,NA,2025-06-17,NA,NA,NA,"TM2",NA,NA,NA,87,"Parent",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,0
"10","C",5,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11","C",6,"A","2509",NA,NA,NA,NA,NA,2025-06-09,NA,"6/3: dying",NA,"(WL2 x BH) x (WL2 x CC)","1_2","1","2",1,"F2",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,0
"12","C",6,"B","2549",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x WV) x (CC x WL2)","1_1","1","1",4,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13","C",7,"A","2452",NA,NA,NA,NA,NA,2025-06-09,NA,"6/3: leaves wilted",NA,"(WL2 x TM2) x (CC x TM2)","2-3_2-3","2-3","2-3",8,"F2",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,0
"14","C",7,"B","2095",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(SQ3 x WL2) x (WL2)","3_13-B","3","13-B",4,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"15","C",8,"A","2291",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x TM2) x (WL2 x BH)","1_2","1","2",2,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16","C",8,"B","2252",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(WL2 x TM2) x (TM2)","2_1-3","2","1-3",14,"BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"17",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hole here",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18","C",9,"B","2634",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2","8","8",NA,63,"Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"19","C",10,"A","2466",NA,NA,NA,NA,NA,2025-06-09,NA,NA,NA,"(WV x WL2) x (WL2 x CC)","3_1","3","1",8,"F2",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,0
"20","C",10,"B","2302",NA,NA,NA,NA,NA,NA,NA,"Initally marked dead on 7/18/25","came back to life 7/25/25","(WL2 x WV) x (CC x WL2)","1_1","1","1",7,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21","C",11,"A","2338",NA,NA,NA,NA,NA,2025-06-09,NA,"6/3: dying",NA,"(WV x TM2) x (TM2 x WL2)","2_1","2","1",7,"F2",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,0
"22","C",11,"B","2605",NA,NA,NA,NA,NA,NA,NA,"dead at planting",NA,"(WV x TM2) x (TM2 x WL2)","2_1","2","1",1,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
