bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID
C,1,A,buffer,,,,,buffer
C,1,B,buffer,,,,,buffer
C,2,A,buffer,,,,,buffer
C,2,B,buffer,,,,,buffer
C,3,A,buffer,,,,,buffer
C,3,B,buffer,,,,,buffer
C,4,A,(WV x WL2) x (WL2 x BH),2_2,2,2,7,2566
C,4,B,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,23,2595
C,5,A,TM2,,,,87,2642
C,5,B,buffer,,,,,buffer
C,6,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,1,2509
C,6,B,(WL2 x WV) x (CC x WL2),1_1,1,1,4,2549
C,7,A,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,8,2452
C,7,B,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,4,2095
C,8,A,(WL2 x TM2) x (WL2 x BH),1_2,1,2,2,2291
C,8,B,(WL2 x TM2) x (TM2),2_1-3,2,1-3,14,2252
C,9,A,NA,,,,,NA
C,9,B,TM2,8,8,,63,2634
C,10,A,(WV x WL2) x (WL2 x CC),3_1,3,1,8,2466
C,10,B,(WL2 x WV) x (CC x WL2),1_1,1,1,7,2302
C,11,A,(WV x TM2) x (TM2 x WL2),2_1,2,1,7,2338
C,11,B,(WV x TM2) x (TM2 x WL2),2_1,2,1,1,2605
C,12,A,(WL2) x (WL2 x TM2),3-14_2,3-14,2,11,2326
C,12,B,WL1,13,13,,17,1819
C,13,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,7,2520
C,13,B,(DPR x TM2) x (TM2 x WL2),3_2,3,2,5,2591
C,14,A,(TM2 x WL2) x (TM2),3_2-13,3,2-13,22,2150
C,14,B,WL2,10,10,,92,1915
C,15,A,(WV x WL2) x (WL2 x CC),3_1,3,1,11,2472
C,15,B,LV1 x WL2,14_8,14,8,4,1981
C,16,A,WL2 x LV1,2-A_14-A,2-A,14-A,5,2023
C,16,B,WL2,9,9,,85,1908
C,17,A,TM2,12,12,,83,1787
C,17,B,(WL2 x TM2) x (TM2),2_1-3,2,1-3,36,2274
C,18,A,(LV1 x WL2) x (WL2),6_16-A,6,16-A,4,2090
C,18,B,WL2,6,6,,60,1883
C,19,A,(CC x WL2) x (WL2),4_13-B,4,13-B,3,2063
C,19,B,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,6,2236
C,20,A,(DPR x TM2) x (TM2 x WL2),3_2,3,2,5,2592
C,20,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,22,2213
C,21,A,(WV x WL2) x (WV),20_7-3,20,7-3,3,2370
C,21,B,(DPR x WL2) x (YO11 x WL2),,,,4,698
C,22,A,TM2,9,9,,70,2638
C,22,B,buffer,,,,,buffer
C,23,A,WL2 x DPR,,,,2,2489
C,23,B,(WV x WL2) x (WL2 x BH),2_2,2,2,6,2564
C,24,A,buffer,,,,,buffer
C,24,B,WL2,,,,23,118
