"pop","total_individuals","stage","proportion"
"BH",91,"prop_bud",0
"BH",91,"prop_flower",0
"BH",91,"prop_fruit",0
"BH*",25,"prop_bud",0
"BH*",25,"prop_flower",0
"BH*",25,"prop_fruit",0
"CC",92,"prop_bud",0
"CC",92,"prop_flower",0
"CC",92,"prop_fruit",0
"CP2",92,"prop_bud",0
"CP2",92,"prop_flower",0
"CP2",92,"prop_fruit",0
"CP2*",4,"prop_bud",0
"CP2*",4,"prop_flower",0
"CP2*",4,"prop_fruit",0
"CP3",91,"prop_bud",0
"CP3",91,"prop_flower",0
"CP3",91,"prop_fruit",0
"CP3*",2,"prop_bud",0
"CP3*",2,"prop_flower",0
"CP3*",2,"prop_fruit",0
"DPR",91,"prop_bud",0
"DPR",91,"prop_flower",0
"DPR",91,"prop_fruit",0
"DPR*",1,"prop_bud",0
"DPR*",1,"prop_flower",0
"DPR*",1,"prop_fruit",0
"FR",48,"prop_bud",0.0416666666666667
"FR",48,"prop_flower",0
"FR",48,"prop_fruit",0
"IH",93,"prop_bud",0
"IH",93,"prop_flower",0
"IH",93,"prop_fruit",0
"IH*",2,"prop_bud",0
"IH*",2,"prop_flower",0
"IH*",2,"prop_fruit",0
"LV1",91,"prop_bud",0
"LV1",91,"prop_flower",0
"LV1",91,"prop_fruit",0
"LV1*",8,"prop_bud",0
"LV1*",8,"prop_flower",0
"LV1*",8,"prop_fruit",0
"LV3",27,"prop_bud",0
"LV3",27,"prop_flower",0
"LV3",27,"prop_fruit",0
"LVTR1",91,"prop_bud",0
"LVTR1",91,"prop_flower",0
"LVTR1",91,"prop_fruit",0
"LVTR1*",2,"prop_bud",0
"LVTR1*",2,"prop_flower",0
"LVTR1*",2,"prop_fruit",0
"SC",91,"prop_bud",0
"SC",91,"prop_flower",0
"SC",91,"prop_fruit",0
"SC*",2,"prop_bud",0
"SC*",2,"prop_flower",0
"SC*",2,"prop_fruit",0
"SQ1",30,"prop_bud",0
"SQ1",30,"prop_flower",0
"SQ1",30,"prop_fruit",0
"SQ2",61,"prop_bud",0
"SQ2",61,"prop_flower",0
"SQ2",61,"prop_fruit",0
"SQ3",33,"prop_bud",0
"SQ3",33,"prop_flower",0
"SQ3",33,"prop_fruit",0
"TM2",84,"prop_bud",0.380952380952381
"TM2",84,"prop_flower",0.333333333333333
"TM2",84,"prop_fruit",0.30952380952381
"TM2*",8,"prop_bud",0
"TM2*",8,"prop_flower",0
"TM2*",8,"prop_fruit",0
"WL1",48,"prop_bud",0
"WL1",48,"prop_flower",0
"WL1",48,"prop_fruit",0
"WL1*",30,"prop_bud",0
"WL1*",30,"prop_flower",0
"WL1*",30,"prop_fruit",0
"WL2",91,"prop_bud",0
"WL2",91,"prop_flower",0
"WL2",91,"prop_fruit",0
"WL2*",3,"prop_bud",0
"WL2*",3,"prop_flower",0
"WL2*",3,"prop_fruit",0
"WR",14,"prop_bud",0
"WR",14,"prop_flower",0
"WR",14,"prop_fruit",0
"WV",3,"prop_bud",0
"WV",3,"prop_flower",0
"WV",3,"prop_fruit",0
"Y04",1,"prop_bud",0
"Y04",1,"prop_flower",0
"Y04",1,"prop_fruit",0
"Y08",1,"prop_bud",0
"Y08",1,"prop_flower",0
"Y08",1,"prop_fruit",0
"YO11",91,"prop_bud",0
"YO11",91,"prop_flower",0
"YO11",91,"prop_fruit",0
"YO11*",2,"prop_bud",0
"YO11*",2,"prop_flower",0
"YO11*",2,"prop_fruit",0
"YO4",39,"prop_bud",0
"YO4",39,"prop_flower",0
"YO4",39,"prop_fruit",0
"YO7",91,"prop_bud",0
"YO7",91,"prop_flower",0
"YO7",91,"prop_fruit",0
"YO8",90,"prop_bud",0
"YO8",90,"prop_flower",0
"YO8",90,"prop_fruit",0
"YO8*",5,"prop_bud",0
"YO8*",5,"prop_flower",0
"YO8*",5,"prop_fruit",0
"buffer",2,"prop_bud",0
"buffer",2,"prop_flower",0
"buffer",2,"prop_fruit",0
NA,155,"prop_bud",0
NA,155,"prop_flower",0
NA,155,"prop_fruit",0
