"block","bed","row","col","unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","missing.date","survey.notes","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","missing.date_dt"
NA,"A",1,"A","TM2_6_11",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","6","11",NA,NA,NA,NA,NA,NA,NA
NA,"A",6,"B","CC_3_3",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"CC","3","3",NA,NA,NA,NA,NA,30,NA
NA,"A",16,"B","BH_3_3",NA,NA,NA,NA,NA,2024-06-18,NA,"6/18/24 No tag","BH","3","3",NA,NA,NA,NA,NA,30,NA
NA,"A",17,"A","BH_7_3",2024-06-18,2024-07-02,2024-07-09,2024-08-13,2024-08-20,2024-10-02,NA,NA,"BH","7","3",30,44,51,86,93,136,NA
NA,"A",18,"A","BH_4_3",2024-06-18,2024-07-23,2024-07-23,NA,NA,2024-08-20,NA,"6/18/24 No tag /missed FL date","BH","4","3",30,65,65,NA,NA,93,NA
NA,"A",24,"A","WL2_7_9",2024-06-18,2024-06-18,2024-07-02,2024-08-13,2024-08-27,2024-10-02,NA,NA,"WL2","7","9",30,30,44,86,100,136,NA
NA,"A",32,"B","IH_7_4",2024-06-18,2024-07-09,2024-07-16,2024-08-27,2024-08-27,2024-10-02,NA,"8/20 tape fruit 8/27 stems with buds dead","IH","7","4",30,51,58,100,100,136,NA
NA,"A",35,"A","SC_8_4",2024-06-18,2024-07-02,2024-07-16,2024-08-20,2024-08-27,2024-10-02,NA,"8/20 aphids","SC","8","4",30,44,58,93,100,136,NA
NA,"A",36,"A","BH_3_4",2024-06-18,2024-07-09,2024-07-16,2024-08-27,2024-08-27,2024-10-02,NA,"8/20 tape fruit","BH","3","4",30,51,58,100,100,136,NA
NA,"A",39,"B","WL2_7_10",2024-06-18,2024-06-18,2024-07-02,2024-08-27,2024-09-03,2024-10-02,NA,"8/20 tape fruit","WL2","7","10",30,30,44,100,107,136,NA
NA,"A",43,"A","TM2_6_1",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","6","1",NA,NA,NA,NA,NA,NA,NA
NA,"A",45,"B","IH_2_4",2024-07-02,2024-07-16,2024-07-23,2024-09-03,2024-09-10,2024-10-16,NA,NA,"IH","2","4",44,58,65,107,114,150,NA
NA,"A",49,"A","YO7_7_23",2024-06-18,2024-06-18,2024-07-09,2024-07-23,2024-07-30,2024-09-03,NA,"fruit drying 8/6/24 / dehissing 8/13/24","YO7","7","23",30,30,51,65,72,107,NA
NA,"A",53,"A","CC_4_4",2024-06-18,2024-07-02,2024-07-23,2024-08-20,2024-08-27,2024-10-02,NA,NA,"CC","4","4",30,44,65,93,100,136,NA
NA,"A",53,"B","BH_7_4",2024-06-25,2024-07-09,2024-07-16,2024-08-13,2024-08-13,2024-09-17,NA,"9/17/24 No leaves","BH","7","4",37,51,58,86,86,121,NA
NA,"A",56,"B","TM2_2_12",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","2","12",NA,NA,NA,NA,NA,NA,NA
NA,"A",14,"D","CC_8_3",2024-06-18,NA,NA,NA,NA,2024-07-09,NA,"6/25/24 snapped off 7/12/24 resprouting","CC","8","3",30,NA,NA,NA,NA,51,NA
NA,"A",15,"C","CC_1_3",2024-06-18,2024-07-09,2024-07-16,2024-09-03,2024-09-24,NA,NA,"10/9 new flowers and buds","CC","1","3",30,51,58,107,128,NA,NA
NA,"A",17,"D","BH_2_3",2024-06-18,2024-07-02,2024-07-09,2024-09-03,2024-09-10,NA,NA,"8/27 main stem at last FR but side stem still active / 9/10 dehiscing","BH","2","3",30,44,51,107,114,NA,NA
NA,"A",22,"D","SC_8_3",2024-06-18,2024-07-09,2024-07-23,2024-09-03,2024-09-17,NA,NA,"7/16 some buds dying","SC","8","3",30,51,65,107,121,NA,NA
NA,"A",23,"D","TM2_3_3",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","3","3",NA,NA,NA,NA,NA,NA,NA
NA,"A",36,"C","SC_2_4",2024-06-18,2024-07-02,2024-07-09,2024-08-06,2024-08-06,2024-10-02,NA,"7/23 no FL but still buds 8/13 all buds and flowers are gone 9/17 No learts","SC","2","4",30,44,51,79,79,136,NA
NA,"A",44,"C","TM2_6_3",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023 / 3 small rosettes nearby","TM2","6","3",NA,NA,NA,NA,NA,NA,NA
NA,"A",45,"D","SC_4_4",2024-06-18,2024-07-02,2024-07-16,2024-08-13,2024-08-13,2024-10-02,NA,NA,"SC","4","4",30,44,58,86,86,136,NA
NA,"A",46,"D","SQ1_5_10",2024-06-25,2024-07-23,2024-08-13,2024-09-03,2024-09-10,NA,NA,"7/16 some buds look deformed or damaged 7/30 spider nest on leaf","SQ1","5","10",37,65,86,107,114,NA,NA
NA,"A",50,"D","IH_6_4",2024-07-09,2024-07-16,2024-07-23,2024-08-27,2024-08-27,2024-10-02,NA,NA,"IH","6","4",51,58,65,100,100,136,NA
NA,"A",56,"C","IH_1_4",2024-06-25,2024-07-23,2024-07-30,2024-08-27,2024-08-27,2024-10-02,NA,"7/16 some buds look deformed or damaged 8/20 tape","IH","1","4",37,65,72,100,100,136,NA
NA,"A",58,"D","YO7_7_13",2024-06-18,2024-06-18,2024-07-02,2024-08-06,2024-08-13,2024-09-03,NA,"8/13/24 some dehiscing 8/27 many dehisced fruits","YO7","7","13",30,30,44,79,86,107,NA
NA,"B",22,"A","IH_3_5",2024-06-18,2024-07-09,2024-07-23,2024-09-24,2024-10-16,NA,NA,"10/9 still budding /taped","IH","3","5",30,51,65,128,150,NA,NA
