parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
SC,Low,421.5178299,38.41167,-120.73583000000001,0.19208256358582085,0.0014684591035667438,0.010556071908304635,0.169924583723762,0.2113036252407462,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.22583474182538152,-3.178253033124523e-4,0.012020363499768838,0.2025930875880672,0.24971204666932073,Recent
CC,Low,313,39.58597,-121.43311,0.2741580240096135,7.6185700818171e-4,0.009641529316208432,0.25449911678577614,0.2922932172170874,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.2858453001546184,0.0015562743199117324,0.012949254288535226,0.25890895380252676,0.30966909786688657,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.3053494140449003,-4.166005120181948e-4,0.011321833565500717,0.2835756285295804,0.32795640058425657,Recent
FR,Mid,787,40.01362,-121.18498,0.34940191931493975,-0.0017721810250390657,0.013387608579160604,0.32493486968570456,0.37741333099425306,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.4101415531272388,-0.0012897281135985095,0.009738408003352694,0.3923443522875094,0.43051821019416525,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.4284632036279818,-0.0012120255537002578,0.019698066717186928,0.3910677278509285,0.4682827305124356,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.4457962250308367,3.557626323987817e-4,0.020051640727995704,0.40613996874062985,0.484740956056246,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.4602717482119945,-0.0015830606099792588,0.014360352175555577,0.4337090357525734,0.49000058189137413,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.4708241657573696,-4.872521950746167e-4,0.016726917400643273,0.43852726227480704,0.5040955736300813,Recent
WR,Mid,1158,39.34346,-120.80659,0.5146265043672675,-0.001860311884307353,0.015196723413377602,0.4867017856783382,0.5462718468248116,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.5146283017384257,-3.831448729674225e-5,0.02153268127746638,0.4724633364313084,0.5568698960201364,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.5396813988188448,-0.0022716170245201672,0.01794305772065798,0.506785268938352,0.577120762748378,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.5717606004444454,0.0011240952503460688,0.017682050350485944,0.5359803233343231,0.6052926870538756,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.5787871938125694,0.0016108799270417862,0.017437570792772274,0.5429993031538264,0.6113533246172288,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.5788534126485474,-0.0011731288214321678,0.015016198563566048,0.550595333100688,0.6094577498392711,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.5828742275237192,-0.0014616713651346425,0.017255836778085974,0.5505150802807036,0.6181567174970041,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.6006224071334514,-0.0013412837437816183,0.016388790957202155,0.5698422508509611,0.6340851309035049,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.6359000063134276,-0.0013596055989721911,0.015466338932656153,0.606946144631704,0.6675730791930955,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.7914463879187819,-0.0012378404679548316,0.011101929257877046,0.7709248468823862,0.8144436098910872,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.7954912954208724,-0.0012713584591833582,0.010953305414285335,0.7752945697563889,0.8182307380037226,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.8012927696235348,1.823625298271736e-4,0.010944382114656469,0.7796598123159366,0.8225610018714786,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.22299687308917487,0.001677522768580464,0.008063254355913464,0.20551566218481832,0.2371230384563705,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.23216986351302016,3.2950862339681253e-4,0.00984847912452697,0.21253769050305593,0.25114301927619076,Historical
CC,Low,313,39.58597,-121.43311,0.2568375034917601,-6.241248252480402e-4,0.0071650795018010464,0.2434183305471119,0.2715049260869044,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.2804399974651661,1.6184573597111118e-4,0.010045685522305031,0.2605889699054617,0.2999673335529283,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.2930394196667525,-0.0023291483620650477,0.011108049765893125,0.27359719054918846,0.31713994550844665,Historical
FR,Mid,787,40.01362,-121.18498,0.38106932901790835,-0.002431550630949242,0.010338704816577143,0.3632373905615756,0.4037643687361396,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.4411297526420386,-0.0023049100002062173,0.009358926893759528,0.4250915029965328,0.4617778222879568,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.44225066919664874,-3.1734939301869547e-4,0.013438997311941984,0.41622806786993055,0.4689079693094043,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.4585796318884349,-0.0019093682679475754,0.013624331966327152,0.4337858001889635,0.4871922001238015,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.4635438006261669,-0.0030136397506753676,0.019228019645818207,0.42887121437701,0.5042436663766745,Historical
WR,Mid,1158,39.34346,-120.80659,0.4829102645296462,-2.3855775866660212e-4,0.014230178020247482,0.45525818587503425,0.5110394587015914,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.4869071271069376,-0.0030237605222500075,0.019153308859943177,0.4523910920789271,0.5274706831794481,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.5254462686863665,-0.0028294783820999037,0.018580687394493315,0.4918582689672621,0.5646932251696706,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.5639141526227397,-0.0031009767806419175,0.019325762130826932,0.5291373316531728,0.6048929271535904,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.5656479680106546,-0.00293598271124762,0.015655035898088802,0.5379006441849665,0.599267257258838,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.5812688200182835,-0.001034922424791529,0.015756485944112032,0.5514215974697039,0.6131858874164462,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.5830731335805268,-0.002626318595650101,0.010629068873949692,0.5648668599940398,0.606532044358314,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.5897844310773136,-2.0224432672300008e-4,0.016438953556834633,0.5577669184891141,0.6222064323189591,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.6028634329364414,-0.002871380176581062,0.01652223995997802,0.5733518178475371,0.6381178083785078,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.6396478186233099,-0.003108004935195474,0.01621006558415588,0.6109846788265276,0.6745269682904831,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.7888905635883982,-0.002491642231260416,0.00984807192373642,0.7720803395319751,0.8106840721073421,Historical
LV3,High,2353.550747,40.47917,-121.52311,0.7910060640410802,-0.002428023365156795,0.009644969419628118,0.7745302947117757,0.8123378801006983,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.8014085086449031,-0.0026684950860440537,0.010385673964802495,0.7837214568047589,0.8244325506571354,Historical
