parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
CP3,High,2266.382201,38.70649,-120.08797,0.364092257481025,-6.798289062810436e-4,0.016592543102115546,0.332251299495231,0.397292873279381,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.37313191896077375,5.379866210702966e-5,0.014248578494899742,0.3451514196177713,0.40100482097956214,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.3778205487667237,-2.0467948536245784e-4,0.014601831303196165,0.34940616478949216,0.4066442917146802,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.38500689280616995,6.078001391868204e-4,0.01606221272134247,0.3529177342211308,0.41588045111283545,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.3865863099171068,-3.286211709110365e-4,0.017049814782221173,0.3534979081717857,0.42033195400424994,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.39223020638191,0.005808838233380298,0.016315387451697742,0.3544437963493854,0.41839893994767396,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.3959884299493191,-6.886119333789353e-4,0.016962229852310197,0.3634316822746799,0.42992240149071614,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.3980989811471947,0.00182790859208537,0.01845477607471361,0.3601003761059192,0.4324417690042995,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.41075566453605455,0.009521193236322223,0.015107114145885014,0.37162507166346215,0.4308438709360025,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.411013747677589,0.0027216041229467525,0.01844304567206677,0.3721444382721641,0.44443984883712045,Recent
WR,Mid,1158,39.34346,-120.80659,0.4181980378714992,9.221873542133441e-4,0.019861874336076415,0.3783472921531157,0.45620440888145597,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.42334597099779914,0.0026535974535394358,0.018334744379168797,0.3847569348953407,0.4566278121931787,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.43874550888363106,0.0015798612689413294,0.01521279355195537,0.4073491201486141,0.4669821750807654,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.45484279394578625,0.001775750576424151,0.017345533132605454,0.4190704231368092,0.487063663601915,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.460541626299666,0.005437385689605279,0.01642032560597953,0.42292099380792003,0.4872874874122014,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.46754256056110965,0.0010508117762902391,0.0174446614266299,0.4323008406661297,0.5006826569035091,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.4807670636961826,0.004833946198284866,0.012396031140456221,0.4516373429113666,0.5002288920844289,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.5512696044386646,0.003340097247020446,0.01578620043115944,0.5169891228938409,0.5788698914894473,Recent
FR,Mid,787,40.01362,-121.18498,0.5593677338467359,4.2429954854739105e-4,0.016393669649684636,0.5268124322103592,0.5910744363860178,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.5715198745682244,0.0020918780612410037,0.02003530302904338,0.5301595241507121,0.6086964688632547,Recent
CC,Low,313,39.58597,-121.43311,0.6056543656685672,5.445349359862739e-4,0.018642346133283378,0.568571503724016,0.6416481577411459,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.6405277716592315,0.002449956650755425,0.014503523652556277,0.609651431000541,0.6665041990164111,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.7141615872159702,-0.00279252081267789,0.01610878400227955,0.6853814715494452,0.7485267445078511,Recent
WR,Mid,1158,39.34346,-120.80659,0.40746707427357715,-1.2869854935981806e-5,0.013364368672097492,0.38128626285508666,0.4336736254019396,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.4127448102575633,-0.002882228956176569,0.0166290244534835,0.3830347501868764,0.4482193282406034,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.41498143958133243,7.941680529703898e-4,0.01736426565404273,0.38015393622845245,0.44822060682827164,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.42098996360025726,0.0019363848143716944,0.016207768405731852,0.38728693644088497,0.45082022113088616,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.4232769175718225,-0.009239084847235235,0.015776854030786845,0.40159393672936994,0.46343806810874555,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.42353590671813923,-0.0031300001588261406,0.0182309157616661,0.3909339685789162,0.46239784517501453,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.42516568068113325,-0.00827714288949638,0.014809325820611475,0.4044170783269121,0.46246856881434717,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.43676990342451133,-0.008658395155237253,0.01591124945183571,0.4142428227051179,0.47661377445437925,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.4493608142602979,0.001254728412604822,0.016304046642315904,0.4161507416264927,0.48006143006889346,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.4547568497474344,-0.002692687284275075,0.01774419995589076,0.4226715441836864,0.49222752987973256,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.45499905555109305,-0.0049311020552336715,0.013883912682423019,0.4327181887842787,0.48714212642837473,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.45744975474428773,0.001378311725861836,0.012116803132483256,0.43232294527099663,0.47981994076585516,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.46286289737514164,-0.010818946452680889,0.017513252429424135,0.4393564998139926,0.5080071878416524,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.4653493047135006,-0.011155400397822701,0.019256252808307874,0.4387631431298416,0.514246267092805,Historical
LV3,High,2353.550747,40.47917,-121.52311,0.4658954937107782,-0.010956108403588682,0.016871445804990583,0.44378417596946595,0.5099190282592678,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.4929386680708587,-0.005735175110113899,0.014396638855094424,0.47045694952655753,0.5268907368353876,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.5297011909121362,-2.5264872716501685e-4,0.010356337530545915,0.5096557910676908,0.5502518882109116,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.5402588401134405,0.0019587718055014136,0.011338924780310091,0.5160761841151226,0.5605239525007556,Historical
FR,Mid,787,40.01362,-121.18498,0.5537173051587237,-0.0024262383519055852,0.011920252971889436,0.5327802769991195,0.5795068100221392,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.555764433138979,-0.005749909396913666,0.01783201708102192,0.5265642312853867,0.5964644537863988,Historical
CC,Low,313,39.58597,-121.43311,0.5694875331935266,0.002677872351823374,0.010349508132155901,0.5465249976449733,0.5870943240384332,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.6335281479577306,-8.242286526392029e-4,0.01068935218796094,0.6134016313039019,0.6553031219168377,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.6473010342966006,0.009642614068894662,0.011782081822885787,0.6145659641919458,0.6607508762634661,Historical
