parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
FR,Mid,787,40.01362,-121.18498,0.17017464441603736,-0.001109679810944203,0.01753417787779509,0.13691796708798423,0.2056506813659789,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.19319403436532967,0.0026942171310099516,0.012370693037320949,0.16625370441737025,0.21474593005126918,Recent
WR,Mid,1158,39.34346,-120.80659,0.20700070018253228,-0.003456668241975186,0.015008392546974387,0.1810414595665983,0.2398732772824166,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.21983390219973667,-0.0026887620372161303,0.015326919516253116,0.19248245399115263,0.25256287448275294,Recent
CC,Low,313,39.58597,-121.43311,0.22740315381223453,-0.0048262644375919594,0.013956118491641594,0.2048759286422355,0.25958290785741744,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.22894580350737542,-0.002547410453442339,0.013716058610386486,0.20461023307461976,0.2583761948470158,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.23561130825023943,-0.0029387173759295726,0.012262856315497896,0.2145152689002036,0.26258478235213445,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.30834596388636887,0.0018616516969773844,0.01523759487549027,0.27661917502241845,0.3363494493563645,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.31700318160281915,-0.002553685899944147,0.017559726891890837,0.2851404352162978,0.3539732997892288,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.33032021754729685,-0.009888246158940128,0.023298572406945144,0.29454410089742583,0.3858728265150481,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.33319492312527876,0.0012366031556773072,0.012592688244287796,0.30727710454225643,0.3566395353969465,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.33661189634132965,0.0029874137863466488,0.01335277499532188,0.30745352447048513,0.3597954406394809,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.3827274245843708,6.238129369946499e-4,0.016907515873006058,0.348965489468245,0.4152417338265073,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.40231892535052977,-0.010875386321327396,0.02022872865824489,0.37354673204866395,0.45284189129505037,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.4220349763643145,-0.002349280665460085,0.01616839752957454,0.3926947801840821,0.456073733875467,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.4596776376561274,-0.002879399360258328,0.015597809790428657,0.43198589158943934,0.4931281824433321,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.4667175486955678,-0.003402492151333425,0.016021109930273735,0.4387192423912077,0.5015208393025947,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.47803637115374453,-0.00878554803362519,0.0214324944241018,0.4448150020172747,0.5288288363574648,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.4838182023156495,-0.004359918041163646,0.017405427895978123,0.45406410854518725,0.5222921321684391,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.4878916190475065,-0.00929936482449173,0.02136629921626385,0.4553138069252147,0.5390681608187817,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.49434491119685925,-0.009717116171662099,0.021703676028546635,0.4615236040204446,0.546600450716598,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.5458020135197627,-0.017897693355664712,0.02524566997060971,0.514219102967448,0.6131803107834067,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.6131117079211087,-0.014144566080696475,0.020100416441551385,0.5878601817021077,0.6666523663015026,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.1666014958380222,0.002847740770573315,0.01566447967036017,0.1330519390769831,0.19445557105791467,Historical
WR,Mid,1158,39.34346,-120.80659,0.1763863651285267,0.00319510974568063,0.015784192074077167,0.14225480739259225,0.2041277033730999,Historical
FR,Mid,787,40.01362,-121.18498,0.20948560067700503,2.1596925480429907e-4,0.018303489841680787,0.17339545054111166,0.2451438123032898,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.24179018632613883,5.203738124727464e-4,0.012578690558016638,0.21661603204727944,0.26592359298005275,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.25142351990946943,0.0020491916039483415,0.02031322903123727,0.2095611309945826,0.28918752561645955,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.25266640450013367,-0.0029074598058980716,0.013741180499210798,0.22864164542251447,0.282506083189549,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.33554162637601165,-5.851446190744403e-4,0.013360632254959452,0.3099404129646814,0.3623131290254908,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.34343744030092266,5.896981977598914e-5,0.01735401810977706,0.30936521999892774,0.3773917209633656,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.35405322530453026,0.0022421220947359544,0.018320785720435728,0.3159030230292646,0.387719183390324,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.3614023678012319,8.698581926139815e-4,0.015788896970407123,0.3295868401910064,0.39147817902622944,Historical
