parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
YO4,High,2157.57391,37.76378,-119.77244,0.21645987797740815,-8.426120693655614e-4,0.011323986892594378,0.1951078835758851,0.23949709651766232,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.24160936486271645,-0.004503743198982113,0.018950793400076393,0.2089702355190895,0.2832559806043076,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.2635424813135409,-0.004051736121850502,0.015220264628156111,0.23776304692903652,0.2974253879417463,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.2651042203227871,-0.001499140250693587,0.010921987931073612,0.24519665758899525,0.2880100635579661,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.26986030471198935,-0.00381804678996861,0.011873487505317897,0.2504067436206486,0.29694995938326735,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.27140493582975944,-0.0020842185736623664,0.013004216190933442,0.2480013590220196,0.298976949784824,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.28714113574565586,-0.0015453779929688882,0.011131516829954682,0.2668691416586121,0.3105038858186374,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.2875182857097167,-0.004345799951482154,0.012963860465758202,0.26645538604771013,0.3172727852746876,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.31372573043884605,-0.006743260321559197,0.02026852805135078,0.2807434057601179,0.3601945757606926,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.3140208563118357,-0.0068523197322303275,0.01986015785437464,0.28194798192221143,0.3597983701659206,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.3325825215553561,-0.007262330884131363,0.020492522442459946,0.2996802464998872,0.38000945837908773,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.3442912701603746,-0.0071998171115293386,0.02044387482292723,0.3114218289145214,0.39156034562928643,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.35954672553077305,-0.006552318294065107,0.014881821259691976,0.33693121013147936,0.39526687751819695,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.36587944639643116,-0.0059050851031591245,0.018753502712005165,0.33502834160008593,0.40854072139909464,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.37150379052396854,-0.001631591148853806,0.011481692613271012,0.3506316776692516,0.3956390856763931,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.3802446836917,-0.009162529130054275,0.02162364505255071,0.34702564730427715,0.4317887783392314,Recent
WR,Mid,1158,39.34346,-120.80659,0.3856348150917765,-3.9165207434510574e-4,0.01360363093143593,0.35936384048153214,0.41268909385071106,Recent
CC,Low,313,39.58597,-121.43311,0.39954363432357376,-0.0026597947324625837,0.009349516564480194,0.3838787133167945,0.42052814479527817,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.4088623847579968,-0.006493943241436706,0.018250172738081435,0.37958664672115916,0.45112600927770785,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.4104326313610405,-0.009204557237695477,0.014732187728876479,0.39076263123665517,0.44851174596081683,Recent
FR,Mid,787,40.01362,-121.18498,0.42020367443861306,-0.0025726988931226713,0.01010061383378146,0.402979533995777,0.44257321266769445,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.42761731156141125,-0.0022780875558609526,0.010915585396858768,0.40850124486925765,0.45128955336528676,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.44604377014039326,-0.0022908893873422875,0.011937457798906894,0.42493767217491124,0.47173164688055985,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,0.21540067180914554,0.004004086748755742,0.015142658080436619,0.1817175205925296,0.24107564952825,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.22223656475407266,0.003137514403775077,0.015198420024330132,0.18931069448069815,0.24888740621989702,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.23861805788165968,0.007836449656561273,0.018404678812139433,0.19470910060627772,0.2668541158439191,Historical
SQ1,Mid,1921.036585,36.56435,-118.7764,0.23946004706235813,0.006249191027464379,0.01460907551881166,0.2045775941705971,0.2618441178991904,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.2512423416542824,0.0017616450565597908,0.01969464675311525,0.210879898273378,0.2880814949220672,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.2609243489216868,-0.0020004864065533146,0.016866571135642622,0.22986696335969775,0.2959827072967825,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.26544914521819013,0.0030172345185476845,0.021680968038835426,0.21993799419356103,0.30492582720572387,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.2698928368884988,-0.0012909644261644426,0.01516332882060962,0.2414642229405302,0.3009033796887963,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.27186043205580307,0.0017322780846887875,0.017676890004789954,0.23548208620304992,0.3047742217391787,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.2923198098407516,0.0017522962708853007,0.013964582528272233,0.2631974347553155,0.31793759238441716,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.2948552776410517,-8.937158291449365e-4,0.016318140750469532,0.26376602530462095,0.3277319616357723,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.3419030914985199,7.25042761329231e-4,0.014437589056380736,0.3128808941630948,0.3694752033112865,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.36175492084821254,-5.738672455602445e-4,0.012096667861589378,0.3386197547521145,0.3860378214354311,Historical
CC,Low,313,39.58597,-121.43311,0.3628520203062128,-0.00117558692409242,0.019446742694785836,0.3259126919319076,0.4021425225287028,Historical
FR,Mid,787,40.01362,-121.18498,0.39528242367203975,-0.002074768608673394,0.009485089729193739,0.37876675802136267,0.4159476265400636,Historical
WR,Mid,1158,39.34346,-120.80659,0.39993558349936165,-0.006725184153930697,0.014370847675355902,0.3784944237822836,0.4348271115243011,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.40374579003782873,-0.003033808288480211,0.02187025716654735,0.36391468194724713,0.44964451470537076,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.41479335930207684,-0.0012385544591307363,0.01627801989582511,0.38412758102576394,0.4479362464966512,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.4171162792166099,-0.007695931998062122,0.013027023763487293,0.3992797138124895,0.4503447086168545,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.43268079774606566,-0.006771260784134869,0.011369318242261,0.41716860424659474,0.4617355128138063,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.4966899203012213,-0.008609533075645048,0.023512729964779506,0.4592153494676828,0.5513835572860499,Historical
LV3,High,2353.550747,40.47917,-121.52311,0.5058235448386516,-0.00863102626697565,0.02394038740501707,0.46753227401585745,0.561376868195397,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.523015897343951,-0.009359720917403114,0.024287816489935672,0.4847723726779622,0.5799788638447461,Historical
