parent.pop,elevation.group,elev_m,Lat,Long,Gowers_Dist,bias,std.error,conf.low,conf.high,TimePd
SQ2,Mid,1934.45122,36.66557,-118.83543,0.1461984939492476,0.007129754679558398,0.01606746548187524,0.10757708560237325,0.17056039293700517,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.15925195605398132,0.003864841136400482,0.013863734626954779,0.12821469435752864,0.18255953547763304,Recent
YO4,High,2157.57391,37.76378,-119.77244,0.2086949870354298,6.307159735071399e-4,0.014591307886421474,0.17946583311720132,0.236662709006644,Recent
SQ3,High,2373.170732,36.72109,-118.84933,0.21300964349329185,7.006432434764898e-4,0.01868352284604403,0.17568996836723777,0.24892803213239295,Recent
WL2,High,2020.115818,38.8263,-120.25242,0.23834796265124175,1.6223605626733417e-4,0.01392660315471043,0.21089008598476008,0.2654813672051888,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,0.26468743583730675,-0.0037005427759098652,0.012135310705508873,0.24460320668921587,0.29217275053721736,Recent
CP2,High,2244.132886,38.66169,-120.13065,0.2891208204242013,0.0035886536100795396,0.01645595818186,0.25327908144657896,0.31778525218166453,Recent
CP3,High,2266.382201,38.70649,-120.08797,0.3342578988098884,-0.0011565413045717676,0.017133965104885483,0.30183248559651854,0.36899639463240175,Recent
WV,Mid,748.8570558,40.74084,-123.00364,0.3503744134532172,-7.815103847224614e-4,0.010511766102097309,0.3305532408639199,0.3717586068119594,Recent
FR,Mid,787,40.01362,-121.18498,0.3514377171461842,-0.003413673595461464,0.00884588708245494,0.3375137706487259,0.37218901083456546,Recent
YO7,High,2469.978665,37.80903,-119.56605,0.35348538327998885,2.6778846412001123e-5,0.018596742561441483,0.3170096587833884,0.3899075500837653,Recent
YO8,High,2590.97836,37.81117,-119.48624,0.36035263924540945,-0.0013736118607942105,0.018421780533698615,0.32562022472905333,0.397832277483354,Recent
BH,Low,511.4294422,37.40985,-119.96458,0.3604549428293177,-4.416740053482249e-4,0.015766374685491337,0.32999509028433893,0.39179814338499297,Recent
WR,Mid,1158,39.34346,-120.80659,0.36593495563577016,-0.003536662725908246,0.012365680568514802,0.3452353298030626,0.3937079069202942,Recent
LV1,High,2593.416641,40.47471,-121.50486,0.4138238945758593,-0.006440630298547689,0.02284476903398023,0.37548960033266987,0.46503944941614406,Recent
YO11,High,2872.295032,37.93844,-119.23157,0.42322780658205655,-0.008554039351996612,0.020007095535138266,0.39256865924993006,0.47099503261817627,Recent
LV3,High,2353.550747,40.47917,-121.52311,0.4280109738877103,-0.006508469789095472,0.022521491023931788,0.3903781323917574,0.4786607549618542,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,0.42843274125131137,-0.007207346606768306,0.023188617866781586,0.39019123198792577,0.4810889437282336,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,0.43199668570153255,-0.005463916684204317,0.010526621890811393,0.4168288026008756,0.4580924021705981,Recent
CC,Low,313,39.58597,-121.43311,0.43490172820755546,-0.005897694809395504,0.007562668343903605,0.4259768654358787,0.4556219805980232,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,0.4493119322097615,-0.005558445173673376,0.01662674447712165,0.4222825570281262,0.48745819773874355,Recent
IH,Low,454.1298385,39.09332,-120.92114,0.45312803979930383,-0.006843125741825606,0.010325312533246065,0.43973392484684715,0.4802084062354117,Recent
TM2,Low,379.1526973,39.59255,-121.55072,0.5655470039740155,-0.012038124127437544,0.018872736268350298,0.5405952447257636,0.6145750114771424,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,0.21651191155607502,-4.674636288565792e-4,0.019538862462454162,0.17868390845963986,0.2552748419102233,Historical
SQ2,Mid,1934.45122,36.66557,-118.83543,0.24457816365610732,-0.0012053351997939055,0.020959584875304912,0.20470346736939316,0.2868635303424093,Historical
YO4,High,2157.57391,37.76378,-119.77244,0.26124962058508383,0.0010799161449390748,0.014934398264961608,0.23089882171004253,0.28944058717024695,Historical
WL1,Mid,1613.837245,38.78608,-120.2143,0.29583609128596455,-0.0019687190614225414,0.010333064604242109,0.27755237587314696,0.3180572448216272,Historical
WL2,High,2020.115818,38.8263,-120.25242,0.29776019955620475,0.0016442791309329574,0.01681221155883554,0.26316459126948616,0.32906724958105743,Historical
SQ3,High,2373.170732,36.72109,-118.84933,0.30396364221616096,0.00496183836076286,0.020073113792361392,0.25965922376479555,0.33834438394600064,Historical
CP2,High,2244.132886,38.66169,-120.13065,0.33622970554011133,-8.871181394831673e-4,0.02422372728542035,0.2896391906288504,0.3845944567303386,Historical
YO7,High,2469.978665,37.80903,-119.56605,0.34322189186049695,2.794135352623406e-4,0.01872590963295168,0.3062403698668977,0.37964458678357155,Historical
WV,Mid,748.8570558,40.74084,-123.00364,0.34382379137204094,5.859483094556861e-4,0.01147498342769455,0.32074728882111,0.36572839730406054,Historical
YO8,High,2590.97836,37.81117,-119.48624,0.3458093995975433,0.001600138381415872,0.017992788796303744,0.3089440431939363,0.37947447923831856,Historical
FR,Mid,787,40.01362,-121.18498,0.3489122471906016,-0.0024203557573916346,0.009112449166754223,0.33347253077020295,0.3691926751257835,Historical
CP3,High,2266.382201,38.70649,-120.08797,0.3709066034796691,-5.927098059470559e-4,0.024526205252487367,0.3234288343133038,0.41956979225792845,Historical
WR,Mid,1158,39.34346,-120.80659,0.3720415682746561,-0.005659527966454803,0.011924607535969666,0.3543292949408355,0.40107289754138636,Historical
BH,Low,511.4294422,37.40985,-119.96458,0.3815129633506691,9.684692886546276e-4,0.012259050094844584,0.35651719739144677,0.40457179073258215,Historical
DPR,Mid,1018.591893,39.22846,-120.81518,0.417907793741886,-0.005254145651857389,0.010746399385720602,0.4020993836342477,0.44422449515323914,Historical
YO11,High,2872.295032,37.93844,-119.23157,0.42007264399930844,0.004999307262143926,0.02085519566842608,0.3741979043365137,0.45594876913781535,Historical
SC,Low,421.5178299,38.41167,-120.73583000000001,0.4471144228275997,-0.004691277173770159,0.01426872620732727,0.4238395105297456,0.47977188947299415,Historical
IH,Low,454.1298385,39.09332,-120.92114,0.4559818192139265,-0.006074428048150338,0.011854741738235523,0.43882138040911145,0.4852911141150422,Historical
CC,Low,313,39.58597,-121.43311,0.5097214611547519,-0.006673854612733621,0.01958841610785319,0.47800272568190905,0.554787905853062,Historical
TM2,Low,379.1526973,39.59255,-121.55072,0.5659562962531037,-0.006952605224362807,0.022292520752577313,0.5292163636778032,0.6166014392771298,Historical
LV1,High,2593.416641,40.47471,-121.50486,0.6148904032221205,-0.009281495486697877,0.028576681194243895,0.5681626327704173,0.6801811646472194,Historical
LV3,High,2353.550747,40.47917,-121.52311,0.6261727691653552,-0.009141580393603688,0.028370432354973465,0.5797093239173811,0.6909193752005368,Historical
LVTR1,High,2741.38982,40.47917,-121.5032,0.6309550926544313,-0.009240309209386566,0.02917254931368883,0.583018255871769,0.6973725478558667,Historical
