"","block","bed","row","col","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","site","year","elev_m","Lat","Grw_Ssn_GD","Wtr_Yr_GD","UCD_Y1_Prob_Fruits","WL2_Y2_Prob_Fruits","WL2_ProbFitness","WL2_Total_Fitness","log_WL2_Total_Fitness","Fruits","FrFlw","bud.duration","flower.duration","fruit.duration","total.repro.duration","initiate.repro"
"1","D2","D",26,"B","BH",5,15,172,184,190,239,232,NA,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,2,12,12,55,42,60,1
"2","D2","D",31,"B","TM2",4,11,134,148,155,190,184,208,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,250,268,14,42,29,50,1
"3","D2","D",37,"B","TM2",6,5,110,NA,NA,NA,NA,134,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4","D2","D",29,"D","BH",2,9,186,197,200,282,282,NA,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,2,2,11,85,82,96,1
"5","D2","D",35,"D","BH",3,6,155,172,176,214,211,282,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,286,319,17,42,35,56,1
"6","F1","F",8,"A","TM2",2,2,115,NA,NA,NA,NA,134,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"7","F1","F",4,"C","TM2",5,7,110,141,148,186,184,208,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,661,665,31,45,36,74,1
"8","F1","F",6,"C","DPR",6,9,124,NA,NA,NA,NA,155,"UCD",23,1018.591893,39.22846,0.242912731193273,0.460271748211995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9","F2","F",35,"D","BH",2,1,176,190,200,253,239,282,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,35,43,14,63,39,63,1
"10","F2","F",40,"C","DPR",7,4,110,NA,NA,NA,NA,134,"UCD",23,1018.591893,39.22846,0.242912731193273,0.460271748211995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"11","F2","F",40,"D","TM2",1,4,110,141,165,197,186,200,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,4,9,31,56,21,76,1
"12","H1","H",4,"B","BH",2,12,184,NA,NA,NA,NA,208,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"13","H1","H",5,"B","SC",4,2,165,NA,NA,NA,NA,208,"UCD",23,421.5178299,38.41167,0.259906866031236,0.192082563585821,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"14","H1","H",12,"B","FR",2,8,141,NA,NA,NA,NA,176,"UCD",23,787,40.01362,0.239151439459641,0.34940191931494,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15","H1","H",15,"B","CC",3,3,134,NA,NA,NA,NA,162,"UCD",23,313,39.58597,0.180945281879079,0.274158024009613,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"16","H1","H",16,"A","CC",4,10,141,NA,NA,NA,NA,176,"UCD",23,313,39.58597,0.180945281879079,0.274158024009613,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"17","H1","H",17,"B","DPR",5,2,115,137,NA,NA,NA,176,"UCD",23,1018.591893,39.22846,0.242912731193273,0.460271748211995,0,NA,NA,NA,NA,0,116,22,NA,NA,NA,1
"18","H1","H",19,"A","TM2",5,1,110,137,148,NA,172,176,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,25,136,27,NA,24,62,1
"19","H2","H",24,"B","BH",5,29,159,172,176,214,208,282,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,508,552,13,42,32,49,1
"20","H2","H",36,"B","TM2",3,1,115,141,148,190,169,200,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,255,438,26,49,21,54,1
"21","H1","H",6,"C","TM2",1,5,115,NA,NA,NA,NA,162,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"22","H1","H",15,"C","CP2",3,10,172,179,184,253,232,282,"UCD",23,2244.132886,38.66169,0.336326793676908,0.600622407133451,1,NA,NA,NA,NA,144,149,7,74,48,60,1
"23","H2","H",25,"C","DPR",2,6,115,NA,NA,NA,NA,155,"UCD",23,1018.591893,39.22846,0.242912731193273,0.460271748211995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"24","H2","H",30,"D","TM2",1,6,115,NA,NA,NA,NA,169,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"25","H2","H",32,"C","SC",6,3,151,165,176,NA,190,208,"UCD",23,421.5178299,38.41167,0.259906866031236,0.192082563585821,1,NA,NA,NA,NA,26,60,14,NA,14,39,1
"26","J1","J",5,"B","TM2",3,10,124,148,151,200,186,208,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,498,565,24,52,35,62,1
"27","J1","J",6,"B","DPR",6,10,124,141,NA,NA,NA,162,"UCD",23,1018.591893,39.22846,0.242912731193273,0.460271748211995,0,NA,NA,NA,NA,0,1,17,NA,NA,NA,1
"28","J1","J",19,"B","BH",3,11,172,NA,NA,NA,NA,225,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"29","J2","J",28,"B","WL2",3,4,155,162,176,200,197,232,"UCD",23,2020.115818,38.8263,0.270770770415982,0.582874227523719,1,NA,NA,NA,NA,44,56,7,38,21,42,1
"30","J2","J",31,"A","TM2",4,12,124,148,151,190,184,208,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,250,258,24,42,33,60,1
"31","J2","J",33,"B","TM2",2,6,115,NA,NA,NA,NA,134,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"32","J2","J",37,"B","BH",1,7,151,169,176,190,190,208,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,31,46,18,21,14,39,1
"33","J1","J",10,"C","BH",3,1,159,172,179,208,208,221,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,134,157,13,36,29,49,1
"34","J1","J",13,"C","TM2",6,7,110,137,148,190,186,200,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,546,566,27,53,38,76,1
"35","J1","J",19,"C","BH",5,20,151,169,172,NA,NA,225,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,422,571,18,NA,NA,NA,1
"36","J2","J",23,"D","BH",4,9,176,184,193,214,211,239,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,44,47,8,30,18,35,1
"37","J2","J",25,"D","BH",2,5,162,176,179,232,225,NA,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,137,158,14,56,46,63,1
"38","L1","L",4,"A","SC",5,8,137,NA,NA,NA,NA,169,"UCD",23,421.5178299,38.41167,0.259906866031236,0.192082563585821,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"39","L1","L",10,"A","BH",2,14,190,200,208,239,239,323,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,4,10,10,39,31,49,1
"40","L1","L",15,"B","TM2",3,12,115,141,148,NA,NA,155,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,0,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,1
"41","L1","L",18,"A","TM2",7,11,115,137,148,NA,NA,155,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,0,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,1
"42","L2","L",30,"A","TM2",1,12,115,137,NA,NA,NA,162,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,0,NA,NA,NA,NA,0,10,22,NA,NA,NA,1
"43","L2","L",34,"B","TM2",5,8,115,137,148,NA,NA,169,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,8,29,22,NA,NA,NA,1
"44","L2","L",35,"A","TM2",4,9,124,144,151,197,197,208,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,452,496,20,53,46,73,1
