"","block","bed","row","col","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","site","year","elev_m","Lat","Grw_Ssn_GD","Wtr_Yr_GD","UCD_Y1_Prob_Fruits","WL2_Y2_Prob_Fruits","WL2_ProbFitness","WL2_Total_Fitness","log_WL2_Total_Fitness","Fruits","FrFlw"
"1","D1","D",3,"A","WL2",4,11,NA,NA,NA,NA,NA,148,"UCD",23,2020.115818,38.8263,0.270770770415982,0.582874227523719,NA,NA,NA,NA,NA,NA,NA
"2","D1","D",3,"B","CP2",10,4,NA,NA,NA,NA,NA,61,"UCD",23,2244.132886,38.66169,0.336326793676908,0.600622407133451,NA,NA,NA,NA,NA,NA,NA
"3","D1","D",4,"A","YO11",4,10,NA,NA,NA,NA,NA,46,"UCD",23,2872.295032,37.93844,0.535639289512285,0.578853412648547,NA,NA,NA,NA,NA,NA,NA
"4","D1","D",4,"B","CC",5,12,NA,NA,NA,NA,NA,75,"UCD",23,313,39.58597,0.180945281879079,0.274158024009613,NA,NA,NA,NA,NA,NA,NA
"5","D1","D",5,"A","FR",3,6,NA,NA,NA,NA,NA,89,"UCD",23,787,40.01362,0.239151439459641,0.34940191931494,NA,NA,NA,NA,NA,NA,NA
"6","D1","D",5,"B","BH",5,24,NA,NA,NA,NA,NA,96,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"7","D1","D",6,"A","IH",6,12,NA,NA,NA,NA,NA,96,"UCD",23,454.1298385,39.09332,0.1754607210788,0.285845300154618,NA,NA,NA,NA,NA,NA,NA
"8","D1","D",6,"B","CC",3,10,NA,NA,NA,NA,NA,96,"UCD",23,313,39.58597,0.180945281879079,0.274158024009613,NA,NA,NA,NA,NA,NA,NA
"9","D1","D",7,"A","WL2",1,9,NA,NA,NA,NA,NA,82,"UCD",23,2020.115818,38.8263,0.270770770415982,0.582874227523719,NA,NA,NA,NA,NA,NA,NA
"10","D1","D",7,"B","CP2",8,4,NA,NA,NA,NA,NA,68,"UCD",23,2244.132886,38.66169,0.336326793676908,0.600622407133451,NA,NA,NA,NA,NA,NA,NA
"11","D1","D",8,"A","LV3",7,12,NA,NA,NA,NA,NA,75,"UCD",23,2353.550747,40.47917,0.434534895185204,0.795491295420872,NA,NA,NA,NA,NA,NA,NA
"12","D1","D",8,"B","BH",6,7,NA,NA,NA,NA,NA,110,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"13","D1","D",9,"A","SC",4,8,NA,NA,NA,NA,NA,110,"UCD",23,421.5178299,38.41167,0.259906866031236,0.192082563585821,NA,NA,NA,NA,NA,NA,NA
"14","D1","D",9,"B","LVTR1",2,5,NA,NA,NA,NA,NA,68,"UCD",23,2741.38982,40.47917,0.429906979277767,0.801292769623535,NA,NA,NA,NA,NA,NA,NA
"15","D1","D",10,"A","SQ3",4,4,NA,NA,NA,NA,NA,96,"UCD",23,2373.170732,36.72109,0.372124172309874,0.514628301738426,NA,NA,NA,NA,NA,NA,NA
"16","D1","D",10,"B","TM2",2,4,NA,NA,NA,NA,NA,134,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,NA,NA,NA,NA,NA,NA,NA
"17","D1","D",11,"A","WL1",4,10,NA,NA,NA,NA,NA,82,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"18","D1","D",11,"B","BH",7,4,NA,NA,NA,NA,NA,96,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"19","D1","D",12,"A","CC",7,4,NA,NA,NA,NA,NA,124,"UCD",23,313,39.58597,0.180945281879079,0.274158024009613,NA,NA,NA,NA,NA,NA,NA
"20","D1","D",12,"B","TM2",5,9,NA,NA,NA,NA,NA,127,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,NA,NA,NA,NA,NA,NA,NA
"21","D1","D",13,"A","CP2",5,8,NA,NA,NA,NA,NA,75,"UCD",23,2244.132886,38.66169,0.336326793676908,0.600622407133451,NA,NA,NA,NA,NA,NA,NA
"22","D1","D",13,"B","WL1",1,3,NA,NA,NA,NA,NA,110,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"23","D1","D",14,"A","WL1",3,6,NA,NA,NA,NA,NA,96,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"24","D1","D",14,"B","YO7",4,7,NA,NA,NA,NA,NA,134,"UCD",23,2469.978665,37.80903,0.398061511283516,0.578787193812569,NA,NA,NA,NA,NA,NA,NA
"25","D1","D",15,"A","IH",4,18,NA,NA,NA,NA,NA,96,"UCD",23,454.1298385,39.09332,0.1754607210788,0.285845300154618,NA,NA,NA,NA,NA,NA,NA
"26","D1","D",15,"B","WL1",2,14,NA,NA,NA,NA,NA,96,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"27","D1","D",16,"A","WL1",7,1,NA,NA,NA,NA,NA,54,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"28","D1","D",16,"B","TM2",5,3,NA,NA,NA,NA,NA,96,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,NA,NA,NA,NA,NA,NA,NA
"29","D1","D",17,"A","DPR",6,4,NA,NA,NA,NA,NA,82,"UCD",23,1018.591893,39.22846,0.242912731193273,0.460271748211995,NA,NA,NA,NA,NA,NA,NA
"30","D1","D",17,"B","WL1",7,15,NA,NA,NA,NA,NA,110,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"31","D1","D",18,"A","SC",6,10,NA,NA,NA,NA,NA,96,"UCD",23,421.5178299,38.41167,0.259906866031236,0.192082563585821,NA,NA,NA,NA,NA,NA,NA
"32","D1","D",18,"B","IH",4,10,NA,NA,NA,NA,NA,110,"UCD",23,454.1298385,39.09332,0.1754607210788,0.285845300154618,NA,NA,NA,NA,NA,NA,NA
"33","D1","D",19,"A","SQ2",6,2,NA,NA,NA,NA,NA,75,"UCD",23,1934.45122,36.66557,0.281133976675751,0.445796225030837,NA,NA,NA,NA,NA,NA,NA
"34","D1","D",19,"B","BH",2,8,NA,NA,NA,NA,NA,96,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"35","D1","D",20,"A","BH",4,2,NA,NA,NA,NA,NA,110,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"36","D1","D",20,"B","WL2",5,6,NA,NA,NA,NA,NA,134,"UCD",23,2020.115818,38.8263,0.270770770415982,0.582874227523719,NA,NA,NA,NA,NA,NA,NA
"37","D1","D",21,"A","SQ2",5,3,NA,NA,NA,NA,NA,61,"UCD",23,1934.45122,36.66557,0.281133976675751,0.445796225030837,NA,NA,NA,NA,NA,NA,NA
"38","D1","D",21,"B","LV3",6,3,NA,NA,NA,NA,NA,96,"UCD",23,2353.550747,40.47917,0.434534895185204,0.795491295420872,NA,NA,NA,NA,NA,NA,NA
"39","D2","D",22,"A","CP2",9,2,NA,NA,NA,NA,NA,54,"UCD",23,2244.132886,38.66169,0.336326793676908,0.600622407133451,NA,NA,NA,NA,NA,NA,NA
"40","D2","D",22,"B","SQ1",4,4,NA,NA,NA,NA,NA,134,"UCD",23,1921.036585,36.56435,0.298822933866865,0.428463203627982,NA,NA,NA,NA,NA,NA,NA
"41","D2","D",23,"A","YO11",3,12,NA,NA,NA,NA,NA,40,"UCD",23,2872.295032,37.93844,0.535639289512285,0.578853412648547,NA,NA,NA,NA,NA,NA,NA
"42","D2","D",23,"B","CP2",10,3,NA,NA,NA,NA,NA,96,"UCD",23,2244.132886,38.66169,0.336326793676908,0.600622407133451,NA,NA,NA,NA,NA,NA,NA
"43","D2","D",24,"A","LVTR1",7,6,NA,NA,NA,NA,NA,75,"UCD",23,2741.38982,40.47917,0.429906979277767,0.801292769623535,NA,NA,NA,NA,NA,NA,NA
"44","D2","D",24,"B","IH",6,6,NA,NA,NA,NA,NA,96,"UCD",23,454.1298385,39.09332,0.1754607210788,0.285845300154618,NA,NA,NA,NA,NA,NA,NA
"45","D2","D",25,"A","DPR",2,7,NA,NA,NA,NA,NA,103,"UCD",23,1018.591893,39.22846,0.242912731193273,0.460271748211995,NA,NA,NA,NA,NA,NA,NA
"46","D2","D",25,"B","CP2",2,1,NA,NA,NA,NA,NA,96,"UCD",23,2244.132886,38.66169,0.336326793676908,0.600622407133451,NA,NA,NA,NA,NA,NA,NA
"47","D2","D",26,"A","TM2",1,2,NA,NA,NA,NA,NA,96,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,NA,NA,NA,NA,NA,NA,NA
"48","D2","D",26,"B","BH",5,15,172,184,190,239,232,NA,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,1,NA,NA,NA,NA,2,12
"49","D2","D",27,"A","SQ2",4,6,NA,NA,NA,NA,NA,40,"UCD",23,1934.45122,36.66557,0.281133976675751,0.445796225030837,NA,NA,NA,NA,NA,NA,NA
"50","D2","D",27,"B","DPR",4,9,NA,NA,NA,NA,NA,110,"UCD",23,1018.591893,39.22846,0.242912731193273,0.460271748211995,NA,NA,NA,NA,NA,NA,NA
"51","D2","D",28,"A","LV3",8,7,NA,NA,NA,NA,NA,40,"UCD",23,2353.550747,40.47917,0.434534895185204,0.795491295420872,NA,NA,NA,NA,NA,NA,NA
"52","D2","D",28,"B","CC",2,13,NA,NA,NA,NA,NA,96,"UCD",23,313,39.58597,0.180945281879079,0.274158024009613,NA,NA,NA,NA,NA,NA,NA
"53","D2","D",29,"A","IH",7,3,NA,NA,NA,NA,NA,155,"UCD",23,454.1298385,39.09332,0.1754607210788,0.285845300154618,NA,NA,NA,NA,NA,NA,NA
"54","D2","D",29,"B","YO11",7,2,NA,NA,NA,NA,NA,68,"UCD",23,2872.295032,37.93844,0.535639289512285,0.578853412648547,NA,NA,NA,NA,NA,NA,NA
"55","D2","D",30,"A","WL1",7,26,NA,NA,NA,NA,NA,96,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"56","D2","D",30,"B","BH",4,3,NA,NA,NA,NA,NA,NA,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,0,0
"57","D2","D",31,"A","WL2",1,7,NA,NA,NA,NA,NA,46,"UCD",23,2020.115818,38.8263,0.270770770415982,0.582874227523719,NA,NA,NA,NA,NA,NA,NA
"58","D2","D",31,"B","TM2",4,11,134,148,155,190,184,208,"UCD",23,379.1526973,39.59255,0.40947349333617,0.3053494140449,1,NA,NA,NA,NA,250,268
"59","D2","D",32,"A","LV3",2,3,NA,NA,NA,NA,NA,117,"UCD",23,2353.550747,40.47917,0.434534895185204,0.795491295420872,NA,NA,NA,NA,NA,NA,NA
"60","D2","D",32,"B","IH",4,19,NA,NA,NA,NA,NA,96,"UCD",23,454.1298385,39.09332,0.1754607210788,0.285845300154618,NA,NA,NA,NA,NA,NA,NA
"61","D2","D",33,"A","WL1",2,11,NA,NA,NA,NA,NA,40,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"62","D2","D",33,"B","BH",6,8,NA,NA,NA,NA,NA,124,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"63","D2","D",34,"A","LV3",1,7,NA,NA,NA,NA,NA,75,"UCD",23,2353.550747,40.47917,0.434534895185204,0.795491295420872,NA,NA,NA,NA,NA,NA,NA
"64","D2","D",34,"B","WL1",1,21,NA,NA,NA,NA,NA,96,"UCD",23,1613.837245,38.78608,0.147453418352489,0.47082416575737,NA,NA,NA,NA,NA,NA,NA
"65","D2","D",35,"A","CC",1,11,NA,NA,NA,NA,NA,110,"UCD",23,313,39.58597,0.180945281879079,0.274158024009613,NA,NA,NA,NA,NA,NA,NA
"66","D2","D",35,"B","BH",5,25,NA,NA,NA,NA,NA,96,"UCD",23,511.4294422,37.40985,0.208631500100476,0.225834741825382,NA,NA,NA,NA,NA,NA,NA
"67","D2","D",36,"A","YO8",2,2,NA,NA,NA,NA,NA,54,"UCD",23,2590.97836,37.81117,0.429022124316974,0.571760600444445,NA,NA,NA,NA,NA,NA,NA
